"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,48.15,2.5,[78]
2,49.08,1.4,[78]
3,49.56,2.9,[78]
4,43.51,9,"[78], [209, 497]"
5,46.79,3.2,"[78], [209, 497]"
6,50.02,5.5,"[78], [79, 116] x 2, [209, 497]"
7,46.98,1,[78]
8,55.67,1.1,"[78], [117]"
9,50.09,5.3,"[209, 497]"
10,46.89,10.1,"[78], [209, 497]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,53.47,2.5,"[209, 497]"
2,50.08,10.3,"[209, 497]"
3,54.82,6.7,None
4,65.36,8.3,"[209, 497]"
5,64.87,6.5,"[209, 497]"
6,56.72,7.9,"[209, 497]"
7,52.11,3.1,"[209, 497]"
8,67.37,1.2,"[209, 497]"
9,53.95,4.3,"[209, 497]"
10,50.09,2.9,"[209, 497]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,61.07,7.9,"[79, 116], [209, 497]"
2,43.71,2.6,"[79, 116], [209, 497]"
3,56.78,8.2,None
4,39.88,3.5,None
5,42.99,3.4,None
6,45.66,2.1,None
7,44.32,5.8,None
8,49.85,3.2,"[78], [209, 497]"
9,55.68,2.9,"[209, 497]"
10,50.02,7.6,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,20.02,N/A,"[78], [209, 497]"
2,28.98,N/A,None
3,12.95,N/A,None
4,21.95,N/A,"[78], [209, 497]"
5,8.13,N/A,None
6,35.59,N/A,None
7,17.64,N/A,None
8,18.74,N/A,"[209, 497]"
9,13.08,N/A,None
10,10.15,N/A,None
