"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,55.34,7.4,None
2,50.98,6.5,[798]
3,43.56,3.4,None
4,40.08,1.3,[798]
5,41.24,10.1,None
6,44.51,3.5,[798]
7,48.92,6.6,"[798] x 2, [79, 116]"
8,39.89,7.8,None
9,40.07,9.2,[798]
10,43.61,3.1,[798]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,58.07,1.5,"[327, 328, 916]"
2,47.85,1.3,None
3,55.36,2.6,None
4,50.01,3.1,None
5,40.09,2.6,None
6,45.16,2.8,None
7,67.93,7.6,None
8,60.02,9.8,None
9,50.02,5.6,None
10,49.81,8.2,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,70.08,2.3,None
2,50.06,6.7,None
3,48.75,3.5,None
4,58.79,1.6,None
5,49.26,4.2,None
6,54.72,3.1,None
7,56.88,2.4,"[209, 497]"
8,50.96,8.5,[798] x 2
9,46.77,2.8,None
10,48.89,7.7,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
