"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.01,2.5,"[22, 23, 36, 73, 99] x 2"
2,4.22,6.6,"[22, 23, 36, 73, 99], [209, 497]"
3,3.36,5.9,"[22, 23, 36, 73, 99], [209, 497]"
4,4.98,8.8,"[22, 23, 36, 73, 99], [209, 497]"
5,3.04,2.6,"[22, 23, 36, 73, 99] x 2"
6,3.77,2.2,"[22, 23, 36, 73, 99] x 2"
7,4.08,6.7,"[22, 23, 36, 73, 99], [209, 497]"
8,3.99,28.2,"[22, 23, 36, 73, 99], [209, 497]"
9,3.21,8.6,"[22, 23, 36, 73, 99] "
10,4.42,9.1,"[22, 23, 36, 73, 99] "
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.06,2.4,None
2,2.98,3.5,None
3,3.31,3.2,None
4,4.33,5.3,None
5,2.99,5.9,None
6,3.09,2.8,None
7,2.96,2.7,None
8,4.95,11.3,None
9,3.37,8.5,None
10,1.67,8.8,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.29,3.2,None
2,4.72,3.7,None
3,5.26,0.8,None
4,4.55,1.2,None
5,4.97,3.2,None
6,4.78,1.8,None
7,3.38,5.4,None
8,4.85,2.1,None
9,3.99,2.9,None
10,4.01,7.5,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
