"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.99,3.9,[89] x 2
2,2.98,1.1,[89] x 2
3,3.11,1.2,[89] x 2
4,3.02,1.3,[89] x 2
5,3.69,2.2,[89] x 2
6,2.88,2.4,[89] x 2
7,3.07,3.2,[89] x 2
8,4.66,1.9,[89] x 2
9,2,3.1,[89] x 2
10,1.96,10.4,[89] x 2
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.22,2.4,"[79, 116] x 2, [209, 497]"
2,4.68,3.2,"[79, 116] x 2, [209, 497]"
3,3.98,2.8,"[79, 116] x 2, [209, 497]"
4,5.01,1.2,"[79, 116] x 2, [209, 497]"
5,4.93,1.9,"[79, 116] x 2, [209, 497]"
6,4.77,1.1,"[79, 116] x 2, [209, 497]"
7,4.58,0.7,"[79, 116] x 2, [209, 497]"
8,5.26,5.1,"[79, 116] x 2, [209, 497]"
9,4.02,1.3,"[79, 116] x 2, [209, 497]"
10,4.1,5,"[79, 116] x 2, [209, 497]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.97,6,"[1333, 400], [209, 497]"
2,5.02,3.4,"[1333, 400], [209, 497]"
3,6.01,1.1,"[1333, 400], [209, 497]"
4,4.78,1.2,"[1333, 400], [209, 497]"
5,4.45,5.7,"[1333, 400], [209, 497]"
6,4.43,2.7,"[1333, 400], [209, 497]"
7,5.32,4.1,"[1333, 400], [209, 497]"
8,5.66,4.1,"[1333, 400], [209, 497]"
9,6.04,3.9,"[1333, 400], [209, 497]"
10,5.98,9,"[1333, 400], [209, 497]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
