"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,2.09,3,[89]
2,2.02,3.1,[89]
3,2.13,3.2,[89]
4,2.98,2.9,[89]
5,2.66,5.6,[89]
6,2.5,6.5,[89]
7,2.44,7.8,[89]
8,2.1,9.1,[89]
9,3.02,6.2,[89]
10,2.99,5.9,[89]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.38,9.1,"[327, 328, 916]"
2,4.09,3.4,"[327, 328, 916]"
3,5.63,6.6,"[327, 328, 916]"
4,4.56,5.5,"[327, 328, 916]"
5,4.82,9.9,"[327, 328, 916]"
6,4.98,8.3,"[327, 328, 916]"
7,5.02,8.1,"[327, 328, 916]"
8,5.33,7.8,"[327, 328, 916]"
9,4.77,1.3,"[327, 328, 916]"
10,3.32,8.9,"[327, 328, 916]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.9,2.8,"[209, 497]"
2,3.66,1.5,"[327, 328, 916]"
3,5.32,2.4,"[209, 497]"
4,3.55,3.7,"[209, 497]"
5,3.02,3.9,"[209, 497]"
6,4.55,1.3,"[327, 328, 916]"
7,6.08,4.4,"[209, 497]"
8,5.11,6.5,"[209, 497]"
9,5.04,3.5,"[209, 497]"
10,4.98,7.4,"[209, 497]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
