"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,2.03,2.5,"[22, 23, 36, 73, 99]"
2,2.34,2.3,"[22, 23, 36, 73, 99]"
3,3.02,2.6,None
4,2.56,2.4,None
5,2.48,5.7,"[22, 23, 36, 73, 99]"
6,2.94,5.8,"[22, 23, 36, 73, 99]"
7,2.21,5.6,"[22, 23, 36, 73, 99]"
8,3.55,3.7,"[22, 23, 36, 73, 99]"
9,2.99,3.2,None
10,3.01,5.3,"[22, 23, 36, 73, 99]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.02,2.7,"[22, 23, 36, 73, 99]"
2,3.28,3.1,None
3,2.98,1.3,"[22, 23, 36, 73, 99]"
4,1.87,1.9,None
5,3.96,1.1,None
6,1.99,2.9,None
7,2.88,1.3,None
8,4.01,1.1,"[22, 23, 36, 73, 99]"
9,2.08,2.4,None
10,3.11,8.4,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.33,2.5,"[22, 23, 36, 73, 99]"
2,5.02,2.6,"[22, 23, 36, 73, 99]"
3,4.98,2.7,"[22, 23, 36, 73, 99]"
4,4.66,1.1,"[22, 23, 36, 73, 99]"
5,4.72,1.3,"[22, 23, 36, 73, 99]"
6,5.42,1.4,"[22, 23, 36, 73, 99]"
7,4.01,0.6,"[22, 23, 36, 73, 99]"
8,4.37,2.2,"[22, 23, 36, 73, 99]"
9,4.98,1.5,"[22, 23, 36, 73, 99]"
10,5.21,7.2,"[22, 23, 36, 73, 99]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
