"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.06,2.5,"[79, 116], [209, 497]"
2,3.87,3.1,"[79, 116], [209, 497]"
3,2.86,3.2,"[79, 116], [209, 497]"
4,3.01,3.3,"[79, 116], [209, 497]"
5,3.88,1.3,"[79, 116], [209, 497]"
6,4.91,2.4,"[79, 116], [209, 497]"
7,3.65,6.1,"[79, 116], [209, 497]"
8,4.02,4.1,"[79, 116], [209, 497]"
9,3.75,7.8,"[79, 116], [209, 497]"
10,4.02,6.5,"[79, 116], [209, 497]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.31,2.5,"[79, 116]"
2,5.07,2.5,"[79, 116]"
3,4.99,3.8,"[79, 116]"
4,5.34,4.1,"[79, 116]"
5,6.02,4.2,"[79, 116]"
6,4.42,3.9,"[79, 116]"
7,4.94,4.4,"[79, 116]"
8,4.63,4.1,"[79, 116]"
9,4.68,5.6,"[79, 116]"
10,4.19,8.1,"[79, 116]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.67,2.5,"[209, 497]"
2,4.03,1.8,"[79, 116], [209, 497]"
3,5.09,1.5,"[79, 116], [209, 497]"
4,4.72,2.9,"[79, 116], [209, 497]"
5,4.55,3.1,"[209, 497]"
6,5.02,4.2,"[209, 497]"
7,4.98,5.4,"[79, 116], [209, 497]"
8,4.51,3.1,"[79, 116], [209, 497]"
9,4.38,6.2,None
10,5.08,6.8,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
