"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.71,2.6,"[327, 328, 916]"
2,4.52,3.4,"[327, 328, 916]"
3,3.98,2.1,"[327, 328, 916]"
4,5.06,1.9,"[327, 328, 916]"
5,4.63,6.6,"[327, 328, 916]"
6,5.92,2.3,"[327, 328, 916]"
7,6.01,5.4,"[327, 328, 916]"
8,4.88,4.3,"[327, 328, 916]"
9,5.6,5.6,"[327, 328, 916]"
10,4.24,7.5,"[327, 328, 916]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.23,15.8,"[327, 328, 916], [209, 497]"
2,4.61,7.5,"[327, 328, 916], [209, 497]"
3,4.72,8.3,"[327, 328, 916], [209, 497]"
4,5.02,11.2,"[327, 328, 916], [209, 497]"
5,5.26,8.5,"[327, 328, 916], [209, 497]"
6,5.08,1.4,"[327, 328, 916], [209, 497]"
7,4.61,2.1,"[327, 328, 916], [209, 497]"
8,6.91,2.9,"[327, 328, 916], [209, 497]"
9,3.99,3.4,"[327, 328, 916], [209, 497]"
10,4.04,2.6,"[327, 328, 916], [209, 497]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.63,2.6,"[327, 328, 916]"
2,4.81,1.6,"[327, 328, 916]"
3,5.03,3.1,"[327, 328, 916]"
4,4.91,1.2,"[327, 328, 916]"
5,4.26,0.9,"[327, 328, 916]"
6,4.58,7.9,"[327, 328, 916]"
7,4.92,3.2,"[327, 328, 916]"
8,5.32,1.3,"[327, 328, 916]"
9,4.78,1.2,"[327, 328, 916]"
10,6.01,10.4,"[327, 328, 916]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
