"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,40.01,2.4,"[22, 23, 36, 73, 99], [79, 116]"
2,49.31,3.6,"[22, 23, 36, 73, 99], [209, 497]"
3,42.33,1.7,"[22, 23, 36, 73, 99], [79, 116], [209, 497]"
4,50.03,2.5,"[601] x2, [22, 23, 36, 73, 99]"
5,41.55,2.7,"[22, 23, 36, 73, 99], [79, 116]"
6,38.99,4.8,"[22, 23, 36, 73, 99]"
7,52.03,6.2,"[209, 497]"
8,51.33,6.1,"[22, 23, 36, 73, 99], [209, 497]"
9,42.22,5.2,"[601], [22, 23, 36, 73, 99], [209, 497]"
10,50.82,5,"[22, 23, 36, 73, 99], [79, 116], [209, 497]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,44.61,6.4,None
2,40.02,1.1,"[22, 23, 36, 73, 99] x 2"
3,49.09,3.3,"[22, 23, 36, 73, 99], [79, 116]"
4,34.97,4.4,"[22, 23, 36, 73, 99]"
5,40.52,2.3,"[22, 23, 36, 73, 99]"
6,41.13,7.2,"[22, 23, 36, 73, 99]"
7,33.59,6.3,"[22, 23, 36, 73, 99]"
8,36.89,7.1,"[22, 23, 36, 73, 99]"
9,40.01,12.5,"[22, 23, 36, 73, 99] x 2"
10,38.85,6.6,"[22, 23, 36, 73, 99]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,49.81,18.6,"[79, 116], [22, 23, 36, 73, 99], [209, 497]"
2,40.02,7.8,"[22, 23, 36, 73, 99] x 2, [79, 116]"
3,42.31,11.2,"[209, 497]"
4,45.62,8.7,"[209, 497]"
5,47.83,9.6,"[209, 497]"
6,47.89,2.5,"[209, 497]"
7,50.13,2,"[209, 497]"
8,48.33,3.1,None
9,49.91,4,[601]
10,52.36,7.2,"[209, 497]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,16.78,N/A,None
2,33.69,N/A,[601]
3,20.65,N/A,None
4,35.48,N/A,"[209, 497]"
5,11.06,N/A,None
6,16.59,N/A,None
7,9.35,N/A,"[22, 23, 36, 73, 99]"
8,15.47,N/A,None
9,24.21,N/A,None
10,26.99,N/A,None
