"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,343.87,11.3,"[601], [209, 497]"
2,223.77,12.2,None
3,242.52,10.5,None
4,209.87,10.8,[798]
5,341.26,10.1,None
6,200.78,10.2,None
7,340.73,10.9,"[209, 497]"
8,341.04,11.4,None
9,337.51,12.6,[798]
10,345.5,19.5,[798]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,172.23,7.8,"[209, 497]"
2,160.59,9.5,"[79, 116] x 2, [209, 497]"
3,149.82,10.2,"[79, 116], [209, 497]"
4,187.68,11.3,"[79, 116], [209, 497]"
5,120.26,10.9,"[79, 116]"
6,210.94,8.7,"[79, 116], [209, 497]"
7,217.56,8.4,None
8,172.15,5.6,None
9,305.91,6.3,"[79, 116]"
10,288.73,2.4,"[798], [209, 497]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,480.69,6.2,None
2,410.67,6.3,None
3,416.42,5.6,None
4,438.18,7.1,None
5,269.64,8.2,[798]
6,225.68,9.8,None
7,356.89,9.9,None
8,504.68,9.5,None
9,468.44,4.6,None
10,433.18,6.4,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,95.07,11.1,None
2,86.71,10.9,None
3,88.35,10.4,None
4,129.85,10.5,None
5,108.77,9.8,[798]
6,111.12,10.6,None
7,102.81,6.7,None
8,105.55,8.3,None
9,98.76,11.5,None
10,99.09,10.2,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,127.38,5.3,"[209, 497]"
2,176.33,7.8,None
3,151.36,8.1,None
4,157.03,9.2,None
5,145.98,9.5,None
6,148.66,6.3,None
7,130.24,4.7,None
8,142.21,8.2,None
9,172.96,5.6,None
10,148.77,6.2,None
