"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,345.98,5.3,"[79, 116]"
2,238.21,5.8,"[79, 116], [209, 497]"
3,367.16,9.1,"[79, 116], [209, 497]"
4,367.68,7.2,"[209, 497], [79, 116]"
5,314.14,5.8,"[79, 116], [209, 497] x 2"
6,307.72,4.2,"[209, 497], [79, 116]"
7,344.66,4.3,"[79, 116], [209, 497]"
8,300.01,5.6,"[209, 497], [79, 116]"
9,308.82,5.5,"[79, 116], [209, 497]"
10,288.92,5.1,"[79, 116], [209, 497]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,98.44,5.4,"[79, 116], [209, 497]"
2,75.57,5.7,"[209, 497]"
3,122.01,8.2,"[209, 497]"
4,80.43,12.5,"[209, 497]"
5,108.41,10.9,"[209, 497]"
6,72.83,7.8,"[209, 497]"
7,80.22,11.1,"[209, 497]"
8,149.73,13.2,"[209, 497], [79, 116]"
9,87.56,6.5,"[209, 497], [79, 116]"
10,111.17,2.8,"[209, 497], [79, 116]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,392.59,5.4,None
2,429.63,6.3,None
3,246.73,6.1,"[209, 497] x 2"
4,399.74,6.2,None
5,335.27,6.7,"[209, 497]"
6,244.08,7.2,None
7,482.26,8.3,None
8,345.06,6.5,"[209, 497]"
9,334.11,6.2,"[79, 116], [209, 497]"
10,309.82,6.4,"[79, 116]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,51.27,5.3,"[79, 116]"
2,81.16,6.2,"[79, 116]"
3,76.24,4.3,None
4,52.98,1.2,"[79, 116]"
5,57.64,3.7,"[209, 497], [79, 116]"
6,62.27,8.1,None
7,62.05,7.2,"[209, 497], [79, 116]"
8,119.24,9.1,None
9,105.22,5.2,None
10,56.93,3.4,None
