"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,187.38,5.3,"[327, 328, 916]"
2,219.71,6.2,"[327, 328, 916], [209, 497]"
3,203.87,6.8,"[327, 328, 916]"
4,216.58,7.2,"[327, 328, 916]"
5,471.44,5.6,"[327, 328, 916], [209, 497] x 2"
6,221.18,7.2,"[327, 328, 916]"
7,215.09,8.4,"[327, 328, 916], [209, 497]"
8,347.82,6.4,"[327, 328, 916], [209, 497] x 2"
9,368.93,6.4,"[327, 328, 916]"
10,300.02,3.6,"[327, 328, 916], [209, 497] x 2"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,150.54,5.2,"[327, 328, 916], [209, 497]"
2,137.06,6.6,"[209, 497]"
3,224.51,7.3,None
4,372.25,8.9,"[327, 328, 916]"
5,229.74,10.1,"[209, 497]"
6,188.82,5.2,"[327, 328, 916], [209, 497]"
7,399.91,6.7,"[209, 497]"
8,161.19,1.7,"[209, 497]"
9,399.66,8.2,"[209, 497]"
10,330.44,3.9,"[327, 328, 916], [209, 497]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,280.77,6.5,"[327, 328, 916]"
2,504.56,6.3,None
3,447.21,6.7,None
4,585.38,8.3,None
5,313.06,4.5,None
6,414.36,6.1,"[327, 328, 916]"
7,386.68,6.2,"[327, 328, 916], [209, 497]"
8,443.22,6.4,"[327, 328, 916]"
9,523.87,6.7,"[327, 328, 916]"
10,500.02,4.3,"[327, 328, 916], [209, 497]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,98.51,,None
2,113.88,,None
3,126.35,,None
4,135.39,,None
5,99.92,,None
6,117.91,,None
7,130.87,,None
8,183.43,,None
9,97.01,,None
10,95.52,,None
,,,
Idea 4 ,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,291.02,2.3,"[327, 328, 916] x 2"
2,209.78,3.1,None
3,148.51,5.6,None
4,128.81,6.3,None
5,170.09,4.5,None
6,381.66,5.2,None
7,154.06,6.3,None
8,159.21,6.2,None
9,130.04,5.7,None
10,167.97,8.1,[798]
