"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,215.68,6.2,None
2,132.69,7.3,"[79, 116] x 2"
3,163.06,8.5,"[209, 497]"
4,213.11,9.2,"[78], [79, 116]"
5,169.02,5.4,"[209, 497]"
6,238.94,5.3,None
7,233.91,6.4,None
8,208.12,7.3,"[209, 497]"
9,299.03,6.3,"[79, 116] x 2"
10,200.01,5.3,"[209, 497]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,479.48,5.3,"[209, 497]"
2,262.78,7.8,"[209, 497]"
3,142.36,9.2,"[79, 116] x 2, [209, 497]"
4,180.25,1.3,"[209, 497]"
5,142.93,4.5,"[209, 497]"
6,191.52,6.4,"[209, 497]"
7,183.39,7.4,"[79, 116] x 3, [209, 497]"
8,305.83,5.6,"[209, 497]"
9,174.87,7.4,"[209, 497]"
10,125.16,3.4,"[78], [209, 497]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,386.24,5.3,"[209, 497]"
2,388.72,6.3,"[78], [209, 497]"
3,522.16,6.7,None
4,366.31,7.8,None
5,374.72,7.2,"[79, 116]"
6,418.61,6.5,None
7,546.52,6.4,None
8,355.49,6.3,None
9,377.82,6.7,None
10,398.99,6.3,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,67.66,,None
2,95.26,,None
3,79.74,,None
4,156.21,,None
5,83.66,,None
6,71.91,,None
7,69.44,,None
8,83.71,,None
9,89.09,,None
10,91.32,,None
