"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.93,26.1,"[22, 23, 36, 73, 99]"
2,7.01,32.1,"[22, 23, 36, 73, 99]"
3,5.56,11.4,"[22, 23, 36, 73, 99] x 2"
4,6.64,12.1,"[22, 23, 36, 73, 99]"
5,6.51,13.7,"[22, 23, 36, 73, 99] x 2"
6,6.86,14.6,"[22, 23, 36, 73, 99] x 2"
7,7.11,7.6,"[22, 23, 36, 73, 99]"
8,6.91,25.1,"[22, 23, 36, 73, 99]"
9,6.87,6,"[22, 23, 36, 73, 99]"
10,6.75,13.3,"[22, 23, 36, 73, 99]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.66,7.6,"[22, 23, 36, 73, 99]"
2,7.14,9.3,None
3,10.33,8.6,None
4,7.65,6.5,"[22, 23, 36, 73, 99]"
5,11.5,13.1,"[22, 23, 36, 73, 99]"
6,8.14,5.9,None
7,12.99,6.7,None
8,6.98,6.1,None
9,9.87,8.7,"[22, 23, 36, 73, 99] x 2"
10,10.13,9.1,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.39,9.4,"[1333, 400, 730]            "
2,9.21,11.1,"[22, 23, 36, 73, 99]   "
3,9.98,9.2,None
4,9.94,10.2,None
5,8.67,7.9,None
6,7.16,8.2,None
7,8.86,9.2,"[22, 23, 36, 73, 99] "
8,9.76,13.2,"[1333, 400, 730], [22, 23, 36, 73, 99]"
9,12.2,21.3,"[22, 23, 36, 73, 99]        "
10,8.6,13.6,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.16,N/A,None
2,5.38,N/A,None
3,6.99,N/A,"[22, 23, 36, 73, 99] "
4,3.81,N/A,"[22, 23, 36, 73, 99] "
5,6.19,N/A,"[22, 23, 36, 73, 99] x 2"
6,4.48,N/A,"[22, 23, 36, 73, 99] "
7,3.21,N/A,None
8,8.93,N/A,"[22, 23, 36, 73, 99] "
9,9.11,N/A,None
10,6.88,N/A,"[22, 23, 36, 73, 99] "
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.98,1.3,None
2,8.75,3.2,"[22, 23, 36, 73, 99] x 2"
3,8.13,2.9,None
4,9.24,7.2,None
5,8.74,5.6,None
6,8.99,11.4,None
7,8.03,4.2,None
8,7.98,3.3,"[22, 23, 36, 73, 99]"
9,8.95,5.2,"[1333, 400, 730]            "
10,9.13,8.1,None
