"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.7,18.3,None
2,7.22,16.8,None
3,6.9,8.6,"[22, 23, 36, 73, 99]"
4,7.61,9.8,None
5,7.43,8.4,None
6,8.86,13.7,None
7,5.78,6.4,"[22, 23, 36, 73, 99]"
8,7.36,8.8,None
9,5.02,6.7,None
10,8.95,11.5,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.93,32.9,"[209, 497]"
2,9.83,15.2,None
3,9.01,17.7,"[209, 497]"
4,7.58,9.1,None
5,6.96,10.1,"[209, 497]"
6,12.07,27.3,"[209, 497]"
7,10.37,14,None
8,9.38,18.3,None
9,6.76,10.6,None
10,8.92,9.1,"[209, 497]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.84,18.2,None
2,7.18,21.7,None
3,6.68,12.3,None
4,8.75,9.2,None
5,6.51,8.4,None
6,8.69,7.5,None
7,7.62,16.4,None
8,6.54,7.3,None
9,9.48,21.7,None
10,7.48,8.8,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.76,N/A,None
2,7.93,N/A,None
3,9.13,N/A,None
4,8.76,N/A,None
5,3.12,N/A,None
6,3.71,N/A,None
7,3.33,N/A,None
8,3.11,N/A,None
9,8.76,N/A,None
10,9.98,N/A,None
