"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.12,2.8,"[209, 497]"
2,4.53,1.6,"[209, 497], [79, 116] x 2"
3,5.14,3.2,"[209, 497]"
4,5.05,3.1,"[209, 497]"
5,5.13,3,"[209, 497]"
6,5.22,6.5,"[209, 497]"
7,5.34,1.3,"[209, 497], [79, 116] x 2"
8,5.67,4.3,"[209, 497]"
9,6.13,7.5,"[209, 497]"
10,7.16,8.9,"[209, 497]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.87,2.5,"[78], [209, 497]"
2,6.65,1.5,"[78], [209, 497]"
3,5.53,1.6,"[78], [209, 497]"
4,5.65,3.4,"[78], [209, 497]"
5,5.78,5.3,"[78], [209, 497]"
6,6.61,7.8,None
7,5.87,2.5,"[78], [209, 497]"
8,7.72,1.8,"[78], [209, 497]"
9,6.92,1.9,"[78], [209, 497]"
10,5.66,9.3,"[78], [209, 497]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.53,9.7,None
2,6.78,8.6,None
3,6.56,7.1,None
4,9.23,3.4,None
5,6.76,5.6,None
6,7.83,9.3,None
7,8.24,1.5,None
8,8.61,4.6,None
9,9.33,6.3,None
10,8.99,5.7,None
,6.18,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.6,N/A,None
2,4.33,N/A,None
3,4.09,N/A,None
4,5.62,N/A,None
5,6.31,N/A,[78]
6,5.36,N/A,None
7,5.55,N/A,None
8,5.43,N/A,None
9,4.38,N/A,None
10,7.12,N/A,None
