"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,17.27,5.4,None
2,41.05,2.9,None
3,13.4,1.3,"[22, 23, 36, 73, 99]"
4,16.15,5.7,"[22, 23, 36, 73, 99]"
5,13.64,6.3,"[22, 23, 36, 73, 99] x 2"
6,56.23,5.2,None
7,13.29,4.6,None
8,15.84,5.3,"[22, 23, 36, 73, 99]"
9,38.91,8.6,None
10,47.2,5.5,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,54.48,3.2,None
2,84.85,5.6,"[22, 23, 36, 73, 99] x 3"
3,20.5,5.3,None
4,69.71,3.7,"[22, 23, 36, 73, 99]"
5,18.59,8.2,None
6,17.48,3.6,"[22, 23, 36, 73, 99] x 2"
7,72.36,6.3,None
8,90.97,4.6,None
9,17.7,6.3,None
10,52.14,3.1,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,82.36,5.9,None
2,81.96,9.1,None
3,21,8.4,None
4,56.87,5.9,None
5,22.36,6.3,None
6,18.64,3.8,"[1333, 400]"
7,38.89,4.5,None
8,20.04,6.2,None
9,65.58,1.8,None
10,19.46,3.4,"[22, 23, 36, 73, 99] x 3"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,28.53,5.5,None
2,23.47,9.8,None
3,21.21,8.6,None
4,29.92,3.4,None
5,34.79,1.7,None
6,27.06,6.3,None
7,28.92,2.2,None
8,23.42,2.6,None
9,20,4.3,None
10,25.75,5.1,None
