"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,38.29,1.9,None
2,45.64,2.8,"[327, 328, 916]"
3,29.17,3.1,"[327, 328, 916]"
4,28.5,4.2,"[327, 328, 916]"
5,21.31,2.8,"[327, 328, 916]"
6,27.95,3.6,"[327, 328, 916]"
7,72.93,5.2,None
8,56.88,4.8,"[327, 328, 916] x 2"
9,26.44,2.4,"[327, 328, 916]"
10,40.15,6.7,"[327, 328, 916]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,29.81,7.1,"[327, 328, 916] x 2"
2,24.63,4.6,None
3,35.88,5.3,None
4,37.28,4.9,"[327, 328, 916] x 2"
5,31.98,7.6,"[327, 328, 916]"
6,33.21,6.5,"[327, 328, 916] x 2"
7,38.96,3.7,None
8,37.87,2.5,"[327, 328, 916]"
9,37.41,2.1,"[327, 328, 916]"
10,37.27,2.5,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,40.05,1.9,None
2,36.74,2.1,None
3,32.89,3.8,None
4,38.26,2.4,"[327, 328, 916]"
5,41.54,3.6,None
6,48.09,7.1,None
7,43.16,2.7,None
8,40.29,8.4,None
9,36.98,3.1,None
10,51.07,3.5,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,36.16,5.5,None
2,31.21,7.1,None
3,48.74,4.5,None
4,49.55,3.1,None
5,26.95,2.9,None
6,37.44,5.8,None
7,35.7,5.1,None
8,38.04,4.9,None
9,35.36,4.2,None
10,57.61,6.3,None
