"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,2.01,3.1,None
2,1.97,3.2,None
3,2.31,2.9,"[79, 116]"
4,1.77,2.7,None
5,1.65,3.5,None
6,1.71,3.6,None
7,1.56,4.1,None
8,1.98,3.7,None
9,1.22,5.1,None
10,1.88,6.4,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,1.26,6.2,None
2,1.98,3.4,None
3,2.01,4.8,None
4,1.76,4.5,None
5,2.33,4.6,"[79, 116]"
6,1.87,2.9,None
7,1.93,2.6,"[79, 116]"
8,1.49,3.3,None
9,2.33,2.5,None
10,2.02,4.1,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.02,2.5,None
2,3.63,3.1,None
3,3.54,2.2,None
4,4.61,4.6,None
5,4.03,2.2,None
6,3.97,1.8,None
7,2.96,1.1,None
8,4.36,1.3,None
9,4.57,1.4,None
10,4.02,7.5,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,2.76,N/A,None
2,1.56,N/A,None
3,1.98,N/A,None
4,1.52,N/A,None
5,1.87,N/A,None
6,1.33,N/A,None
7,2.01,N/A,None
8,1.66,N/A,None
9,2.76,N/A,"[79, 116]"
10,2.29,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.52,4.2,None
2,5.01,9.3,None
3,4.98,5.4,None
4,4.54,6.3,None
5,4.92,5.6,None
6,4.97,7.1,None
7,5.02,5.3,None
8,5.04,7.9,None
9,5.03,8.1,None
10,5.01,6.6,None
