"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,2.96,4.8,None
2,2.68,3.6,None
3,2.31,3.2,None
4,3.01,3.1,None
5,2.98,2.9,None
6,2.99,1.8,None
7,3.12,1.1,None
8,2.63,0.7,None
9,2.74,2.3,None
10,2.91,5.1,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.05,4.9,None
2,4.09,4.8,None
3,3.36,4.7,None
4,3.82,4.6,None
5,3.61,4.8,None
6,4.22,1.6,None
7,3.93,2.3,None
8,3.84,1.1,None
9,3.71,4.5,None
10,3.99,5.2,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,1.89,4.9,None
2,2.03,4.2,None
3,2.31,1.7,None
4,1.96,2.3,None
5,3.24,2.4,None
6,1.85,2.1,None
7,3.75,2.6,None
8,4.09,2.3,None
9,4.06,4.5,None
10,3.81,5.1,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.31,N/A,None
2,1.25,N/A,None
3,1.31,N/A,None
4,1.53,N/A,None
5,1.55,N/A,None
6,1.73,N/A,None
7,1.66,N/A,None
8,2.31,N/A,None
9,1.97,N/A,None
10,1.65,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.79,5.4,None
2,7.01,11.5,None
3,7.23,4.1,None
4,7.19,7.3,None
5,7.22,2.9,None
6,5.78,8.3,None
7,6.01,4.5,None
8,6.33,6.6,None
9,6.58,5.6,None
10,6.44,7.7,None
