"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.1,2.5,[78]
2,4.32,7.2,None
3,3.97,1.2,[78]
4,3.16,1.3,[78]
5,4.98,1.5,[78]
6,4.61,1.3,[78]
7,5.02,2.1,[78]
8,4.14,1.2,[78]
9,5.01,3.2,[78]
10,3.89,5.8,[78]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.97,2.5,"[209, 497]"
2,4.36,2.1,"[209, 497]"
3,5.03,8.6,"[209, 497]"
4,5.12,1.3,"[209, 497]"
5,4.99,1.4,"[209, 497]"
6,5.01,2.2,"[209, 497]"
7,4.09,1.9,"[209, 497]"
8,5.04,2.3,"[209, 497]"
9,4.88,5.5,"[209, 497]"
10,4.76,5.7,"[209, 497]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.76,6.7,"[1333, 400], [209, 497]"
2,5.06,2.9,"[1333, 400], [209, 497]"
3,5.08,3.1,"[1333, 400], [209, 497]"
4,5.13,2.8,"[1333, 400], [209, 497]"
5,5.78,2.7,[78]
6,4.92,4.8,None
7,5.9,4.1,"[1333, 400], [209, 497]"
8,5.62,2.4,"[1333, 400], [209, 497]"
9,5.33,1.2,None
10,5.01,7.7,"[1333, 400], [209, 497]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.44,N/A,None
2,2.55,N/A,None
3,2.67,N/A,None
4,3.79,N/A,None
5,2.64,N/A,None
6,3.55,N/A,None
7,2.71,N/A,None
8,4.42,N/A,None
9,3.11,N/A,None
10,2.89,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.01,7.1,None
2,9.87,5.8,"[209, 497]"
3,9.92,5.9,"[209, 497]"
4,10.13,3.4,"[209, 497]"
5,10.02,6.1,None
6,9.79,3.5,"[209, 497]"
7,9.89,6.4,None
8,9.21,7.4,"[209, 497]"
9,10.14,5.6,None
10,10.51,8.8,"[209, 497]"
