"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.19,3,"[22, 23, 36, 73, 99]"
2,9.68,5.5,None
3,9.07,5.4,"[22, 23, 36, 73, 99]"
4,10.32,3.5,None
5,9.21,9.8,"[22, 23, 36, 73, 99]"
6,9.88,4.6,None
7,8.79,6.3,"[22, 23, 36, 73, 99]"
8,8.61,5.5,"[22, 23, 36, 73, 99]"
9,9.95,5.2,"[22, 23, 36, 73, 99]"
10,8.13,5.5,"[22, 23, 36, 73, 99]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.03,2.5,None
2,7.68,2.8,None
3,11.6,6.4,None
4,12.07,1.4,None
5,14.59,3.6,None
6,10.94,3.8,None
7,9.67,3.9,None
8,9.08,5.8,None
9,12.15,6.1,None
10,7.86,15.5,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.07,2.9,None
2,10.78,4.9,None
3,12.01,3.6,None
4,14.09,8.7,None
5,7.98,6.4,None
6,12,8.2,None
7,15.06,2.5,None
8,15.31,9,None
9,15.97,3.7,None
10,13.18,5.5,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.66,N/A,None
2,8.79,N/A,None
3,17.68,N/A,None
4,7.82,N/A,None
5,5.71,N/A,None
6,7.99,N/A,None
7,10.22,N/A,None
8,11.28,N/A,None
9,8.93,N/A,None
10,9.99,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,15.02,8.1,None
2,15.63,3.2,None
3,14.98,5.4,None
4,15.01,8.1,None
5,15.88,5.4,None
6,14.52,7.6,None
7,13.99,10.1,None
8,15.44,9.8,None
9,15.41,12.1,None
10,15.56,11.2,None
