"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,115.87,2.2,None
2,117.69,2.8,None
3,96.33,8.3,None
4,96.29,5.6,None
5,119.01,5.3,None
6,120.55,2.1,None
7,124.81,1.7,None
8,154.9,6.8,None
9,112.86,9.3,None
10,94.66,5.2,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,150.16,2.8,None
2,156.06,7.5,None
3,135.66,4.6,None
4,136.05,4.1,None
5,120.63,2.8,None
6,121.28,9.3,None
7,161.39,5.3,None
8,110.78,4.7,None
9,162.27,7.1,None
10,298.07,2.3,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,117.32,5.3,None
2,179.4,4.7,None
3,114.77,5.5,None
4,222.82,5.1,"[22, 23, 36, 73, 99]"
5,213.12,3.8,"[327, 328]"
6,121.62,6.4,None
7,222.9,3.4,None
8,171.93,3.2,"[79, 116]"
9,137.66,3.6,None
10,115.42,6.4,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,192.2,N/A,None
2,178.75,N/A,None
3,218.46,N/A,None
4,216,N/A,None
5,513.59,N/A,None
6,195.23,N/A,None
7,337.29,N/A,None
8,226.26,N/A,None
9,205.47,N/A,None
10,225.56,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,210.15,1.2,None
2,216.91,2.3,None
3,207.45,5.6,None
4,229.22,3.3,None
5,254.62,2.5,None
6,152.85,4.1,None
7,176.67,2.7,None
8,133.8,8.3,None
9,239.43,4.6,None
10,231.59,4.1,None
