"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.02,2.4,"[79, 116]"
2,4.67,5.3,None
3,5.11,3.4,None
4,5.18,5.6,None
5,5.52,6.1,None
6,5.19,4.8,None
7,5.24,1.9,None
8,5.17,4.9,None
9,5.01,5.2,None
10,5.02,7,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.98,1.2,"[79, 116]"
2,5.76,2.4,None
3,5.37,5.3,None
4,5.22,5.7,None
5,5.38,5.2,None
6,5.19,6.7,None
7,6.01,4.3,None
8,6.22,4.6,None
9,5.99,7.6,None
10,5.24,8.7,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.55,5.3,None
2,6.3,6.2,None
3,6.72,6.8,None
4,4.55,8.1,None
5,5.59,3.4,None
6,5.25,4.6,None
7,5.34,7.1,None
8,5.67,2.4,None
9,6.84,5.3,None
10,5.69,5.8,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.01,N/A,None
2,3.48,N/A,None
3,4.66,N/A,None
4,5.87,N/A,None
5,5.52,N/A,None
6,20.21,N/A,None
7,5.68,N/A,None
8,11.28,N/A,None
9,6.02,N/A,None
10,5.98,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.01,5.7,None
2,6.22,8.9,None
3,6.55,5.3,None
4,7.26,6.2,None
5,5.34,6.6,None
6,5.19,6.4,None
7,5.01,5.7,None
8,4.99,2.1,None
9,5.23,3.6,None
10,5.26,9.8,None
