"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.38,1.2,"[22, 23, 36, 73, 99]"
2,7.09,3.5,"[22, 23, 36, 73, 99]"
3,6.27,6.1,"[22, 23, 36, 73, 99]"
4,5.55,2.3,"[22, 23, 36, 73, 99]"
5,6.83,4.1,"[22, 23, 36, 73, 99]"
6,7.01,3.4,"[22, 23, 36, 73, 99]"
7,7.33,2.2,None
8,7.28,3.4,"[22, 23, 36, 73, 99]"
9,6.79,2.9,None
10,7.63,2.8,"[22, 23, 36, 73, 99]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.66,6.4,None
2,5.27,3.9,None
3,7.98,1.8,None
4,8.31,5.9,"[22, 23, 36, 73, 99]"
5,6.79,4.8,"[22, 23, 36, 73, 99] x 2"
6,6.58,2.1,None
7,7.02,3.3,"[22, 23, 36, 73, 99]"
8,7.35,5.2,None
9,7.18,4.7,None
10,9.02,6.3,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.09,4.6,None
2,7.83,5.2,None
3,7.76,6.3,None
4,7.92,5.3,None
5,8.31,5.6,None
6,7.58,5.4,None
7,9.29,6.8,None
8,7.33,7.1,None
9,7.15,6.7,None
10,7.24,7.9,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,15.95,N/A,None
2,7.88,N/A,None
3,8.99,N/A,None
4,19.43,N/A,None
5,20.22,N/A,None
6,8.47,N/A,None
7,18.31,N/A,None
8,20.94,N/A,None
9,19.68,N/A,None
10,23.32,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.02,5.3,None
2,8.73,5.6,None
3,5.82,7.8,None
4,6.33,6.2,"[22, 23, 36, 73, 99]"
5,8.92,10.3,None
6,8.81,5.4,"[22, 23, 36, 73, 99]"
7,5.28,4.6,"[22, 23, 36, 73, 99]"
8,5.44,4.8,None
9,5.89,6.1,None
10,6.02,5.6,None
