"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.02,5.6,None
2,4.59,5.3,None
3,4.88,5.7,None
4,4.73,8.1,None
5,4.19,6.9,None
6,5.01,6.5,None
7,5.02,5.3,None
8,5.33,4.7,None
9,5.18,4.8,None
10,5.16,4.1,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.51,5.3,None
2,8.92,7.1,None
3,3.99,2.5,None
4,5.01,6.3,None
5,4.28,4.2,None
6,4.46,3.5,None
7,4.31,3.1,None
8,5.03,5.3,None
9,3.87,4.6,None
10,3.51,7.8,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.06,5.3,None
2,5.17,6.2,[20] x 2
3,4.68,6.8,[20] x 2
4,5.19,6.5,[20] x 2
5,5.67,5.4,[20] x 2
6,6.01,5.8,[20] x 2
7,4.55,5.1,[20]
8,4.98,5.2,[20] x 2
9,4.73,4.6,[20] x 2
10,5.71,6.4,[20] x 2
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.39,N/A,None
2,6.31,N/A,None
3,8.99,N/A,None
4,9.45,N/A,None
5,6.97,N/A,None
6,10.25,N/A,None
7,8.76,N/A,None
8,10.49,N/A,None
9,7.01,N/A,None
10,9.12,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.07,5.3,None
2,5.29,6.2,None
3,6.11,3.1,None
4,4.58,4.3,None
5,5.03,2.4,None
6,3.99,1.7,None
7,5.26,4,None
8,4.73,4.7,None
9,4.52,8.3,None
10,4.11,3.2,None
