"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,48.97,5.8,None
2,36.45,7.3,None
3,40.54,2.4,None
4,34.19,4.5,None
5,37.5,5,None
6,28.19,4.3,None
7,40.45,3.6,None
8,42.93,5.1,None
9,39.07,5.3,None
10,42.46,4.7,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,35.11,5.8,None
2,44.72,7.3,None
3,56.41,6.9,None
4,44.01,8.5,None
5,46.16,4.3,None
6,32.26,3.6,None
7,38.01,7.3,None
8,46.19,5.2,None
9,39.82,2.6,None
10,79.81,5.1,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,48.21,5.6,None
2,37.8,7.3,None
3,52.06,4.5,None
4,54.84,3.2,None
5,44.15,6.7,None
6,47.44,5.4,None
7,42.94,4.8,None
8,89.4,9.2,None
9,53.87,4.1,None
10,39.12,3.5,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,55.43,5.7,[20]
2,49.82,8.3,[20]
3,38.58,4.5,[20]
4,41.96,6.9,None
5,53.82,9.3,[20]
6,59.64,5.4,[20]
7,46.86,3.7,[20]
8,44.14,5.6,None
9,41.42,5.2,[20]
10,42.54,4.1,[20]
