"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,30.87,5.6,None
2,36.34,7.3,None
3,31.61,4.5,None
4,50.45,8.9,"[22, 23, 36, 73, 99]"
5,33.16,4.1,None
6,34.47,2.4,None
7,51.97,5.2,"[22, 23, 36, 73, 99]"
8,43.06,3.7,"[79, 116]"
9,31.06,5.4,"[22, 23, 36, 73, 99]"
10,37.26,3.4,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,47.63,5.3,None
2,50.76,6.7,None
3,59.46,6.8,None
4,48.33,6.8,None
5,54.53,4.3,None
6,51.07,2.6,None
7,56.78,5.4,None
8,48.45,4.3,None
9,39.15,2.1,None
10,41.76,2.3,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,41.28,5.6,None
2,39.3,8.9,None
3,37.91,7.5,None
4,47.43,10.8,None
5,41.94,11.3,None
6,42.74,10.2,None
7,42.26,7.3,None
8,34.64,4.6,None
9,35.02,5.3,None
10,35.52,8,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,40.53,10.2,None
2,36.63,5.7,None
3,33.81,8.3,None
4,44.6,6.9,None
5,43.38,5.1,None
6,38.9,3.5,None
7,28.37,4,None
8,38.07,2.9,None
9,36.46,8.1,None
10,35.31,3.2,None
