"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,32.36,5.6,[502]
2,27.96,8.9,[502]
3,31.25,7.5,"[79, 116], [502]"
4,20.67,6.3,[502]
5,28.64,3.4,"[79, 116], [502]"
6,25.24,5.2,[502]
7,19.05,3.2,[502]
8,25.08,1.6,[502]
9,29.32,7.4,"[79, 116] x 2, [502]"
10,22.66,3.3,"[79, 116], [502]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,36.71,3.4,[502]
2,42.23,6.8,None
3,27.46,5.2,None
4,32.64,4.4,None
5,40.2,4.9,None
6,35.36,8.1,None
7,52.61,2.2,None
8,35.53,3.1,None
9,28.96,3.5,None
10,39.01,5.3,[502]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,42.42,5.4,None
2,32.94,5.7,None
3,39.37,3.3,None
4,42.02,4.7,None
5,48.31,8.2,None
6,36.47,3.1,None
7,32.99,3.5,None
8,33.6,6.2,None
9,43.24,4.4,None
10,31.39,2.1,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,60.28,5.9,None
2,48.82,8.1,None
3,64.26,2.5,None
4,40.75,6.8,None
5,42.87,5.3,None
6,47.61,4.2,None
7,86.72,5.6,None
8,45.57,6.3,None
9,48.14,4.2,None
10,57.03,4.7,None
