"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.55,5.3,None
2,5.15,6.7,None
3,4.77,8.2,None
4,6.93,9.1,None
5,6.02,5.3,None
6,5.73,3.7,None
7,5.44,6.5,None
8,5.49,5.4,None
9,5.09,4.3,None
10,5.11,6.2,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.77,9.9,None
2,7.02,4.1,None
3,7.34,5.7,None
4,7.15,6.3,None
5,6.21,6.2,None
6,6.99,6.5,None
7,7.36,7.3,None
8,7.79,4.9,None
9,7.25,5.1,None
10,4.77,3.3,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.77,5.5,None
2,6.83,6.2,None
3,7.01,6.8,None
4,5.88,9.3,None
5,9.32,4.6,None
6,7.45,6.4,None
7,7.22,4.6,None
8,7.89,2.6,None
9,7.77,10.3,None
10,7.21,7.7,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.05,N/A,
2,7.99,N/A,
3,3.86,N/A,
4,4.64,N/A,
5,5.02,N/A,
6,6.89,N/A,
7,5.68,N/A,
8,4.93,N/A,
9,8.91,N/A,
10,9.05,N/A,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.99,5.3,None
2,9.92,4.2,None
3,7.66,8.7,None
4,7.46,6.5,None
5,7.83,4.6,None
6,7.92,9,None
7,9.01,5.3,None
8,9.23,5.4,None
9,9.15,7.2,None
10,9.21,4.8,None
