"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.36,5.6,[306]
2,4.87,7.3,None
3,4.99,5.6,None
4,4.25,5.4,None
5,4.36,5.8,None
6,4.55,8.5,None
7,5.02,5.3,None
8,4.63,3.5,None
9,5.67,6.4,None
10,4.24,5.3,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.01,9.2,None
2,5.22,6.5,None
3,5.17,3.7,None
4,4.98,4.3,None
5,4.87,1.7,None
6,4.88,8.3,None
7,4.39,5.2,None
8,5.02,4.7,None
9,5.22,7.3,None
10,5.27,3.1,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.02,5.7,None
2,5.66,8.3,None
3,5.78,9.9,None
4,5.26,4.4,None
5,5.7,4.3,None
6,6.09,6.3,None
7,6.11,3.6,None
8,5.73,6.2,None
9,6.29,2.5,None
10,5.33,6.7,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.47,N/A,None
2,5.02,N/A,None
3,4.16,N/A,None
4,5.06,N/A,None
5,2.98,N/A,None
6,6.11,N/A,None
7,5.72,N/A,None
8,9.08,N/A,None
9,6.89,N/A,None
10,2.33,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.09,5.7,None
2,7.11,8.3,None
3,7.24,9.3,None
4,7.89,7.2,None
5,7.25,6.8,None
6,6.92,5.3,None
7,6.37,2.5,None
8,4.45,4.5,None
9,7.29,2.3,None
10,8.01,2.1,None
