"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,16.57,6.6,[502]
2,20.43,9.4,[502]
3,15.06,6.8,[502]
4,21.63,2.3,"[502], [79, 116]"
5,17.75,5.5,"[502], [79, 116]"
6,20.28,5.3,"[502], [79, 116]"
7,19.03,1.7,"[502], [79, 116]"
8,21.44,7.3,"[502], [79, 116]"
9,16.35,5.8,[502]
10,17.67,6.8,[502]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,32.2,5.3,None
2,44.09,6.8,None
3,48.86,7.9,None
4,25.4,8.1,None
5,36.63,2.4,None
6,46.99,5.4,None
7,56.02,4.6,None
8,39.36,6.3,None
9,29.72,6.5,None
10,28.96,4.6,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,38.12,5.5,None
2,28.57,7.3,None
3,31.6,4.7,None
4,39.67,8.4,None
5,24.93,4.4,None
6,32.14,6.3,None
7,32.37,7.9,None
8,37.61,5.4,None
9,30.69,3.2,None
10,35.87,4.7,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,16.74,N/A,None
2,17.77,N/A,None
3,16.18,N/A,None
4,15.43,N/A,None
5,22.01,N/A,None
6,10.33,N/A,None
7,16.5,N/A,None
8,20.01,N/A,None
9,17.09,N/A,None
10,11.76,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,41.42,6.9,None
2,39.74,7.8,None
3,37.53,4.3,None
4,37.06,2.6,None
5,35.26,7.4,None
6,49.65,4.4,None
7,40.23,3.6,None
8,40.31,8.3,None
9,45.08,3.6,None
10,58.15,3.2,None
