"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,23.45,4.8,[918] x 2
2,27.24,6.3,None
3,40.76,8.2,None
4,36.61,5.9,None
5,30.91,6.4,None
6,33.76,5.3,[918]
7,34.98,2.9,None
8,33.6,6.8,[918] x 2
9,26.06,10.3,[918]
10,26.1,7.9,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,44.31,5.6,[918] x 2
2,28.29,7.3,None
3,25.9,4.6,[918]
4,32.1,6.1,[918] x 2
5,31.59,4.6,[918]
6,26.68,8.8,[918]
7,36.43,5.6,[918]
8,48.17,4.3,[918]
9,36.13,8.2,[918] x 2
10,23.05,3.1,[918] x 2
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,46.82,5.5,None
2,40.93,4.7,[918] x 2
3,28.93,4.4,[918]
4,41.16,11.9,[918]
5,42.45,12.6,None
6,38.12,5.7,[918] x 2
7,45.21,8.3,None
8,58.17,9.8,None
9,47.64,7.4,None
10,49.26,4.4,[918]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,18.44,N/A,None
2,22.21,N/A,None
3,21.68,N/A,None
4,14.25,N/A,None
5,20.25,N/A,None
6,18.91,N/A,None
7,24.31,N/A,None
8,18.88,N/A,None
9,18.64,N/A,None
10,14.26,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,60.11,10.9,None
2,62.41,8.9,None
3,73.49,6.3,[918] x 2
4,55.59,10.1,None
5,42.28,5.6,None
6,49.72,7.7,None
7,57.36,7.3,None
8,49.92,3.9,[918] x 2
9,59.8,8.4,None
10,59.17,9.4,None
