"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.02,3.5,"[20], [78]"
2,10.14,4.6,"[20], [78]"
3,10.22,7.2,"[20], [78]"
4,10.31,2.8,"[78], [78]"
5,10.58,7.5,"[20], [78]"
6,10.01,9.3,"[20], [78]"
7,9.65,3.5,"[20], [78]"
8,10.33,3.3,"[20], [78]"
9,11.26,3.1,"[20], [78]"
10,10.22,3.6,"[20], [78]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.23,5.6,[20]
2,11.21,7.8,None
3,11.65,9.2,None
4,11.24,4.5,None
5,11.65,6.5,None
6,11.75,4.2,[20]
7,11.98,2.3,None
8,11.21,4.5,[20]
9,11.23,6.7,[20]
10,11.53,8.4,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.02,2.3,None
2,10.96,2.2,"[79, 116]"
3,10.57,5.6,None
4,10.31,2.3,None
5,9.98,4.5,"[78], [78], [79, 116]"
6,11.31,2.1,"[78], [78]"
7,10.55,5.7,None
8,10.24,5.3,None
9,10.66,4.5,"[1333, 400], [79, 116]"
10,10.21,6.8,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.22,N/A,None
2,10.41,N/A,None
3,9.98,N/A,None
4,9.03,N/A,None
5,10.01,N/A,None
6,21.75,N/A,None
7,8.09,N/A,None
8,10.98,N/A,None
9,12.11,N/A,None
10,13.14,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,15.62,10.3,None
2,15.89,4.8,None
3,16.02,8.3,None
4,15.62,7.6,None
5,14.99,10.9,None
6,14.76,6.5,None
7,15.33,5.4,None
8,15.28,3.5,None
9,15.46,7.8,None
10,15.27,2.3,"[79, 116]"
