"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.37,5.3,"[798] x 2, [20] x 2"
2,7.98,6.2,"[798] x 2, [20] x 2"
3,7.15,5.9,"[798] x 2, [20] x 2"
4,7.35,8.3,"[798] x 2, [20] x 2"
5,7.82,5.7,"[798] x 2, [20] x 2"
6,7.92,2.5,"[798] x 2, [20] x 2"
7,7.11,6.2,"[798] x 2, [20] x 2"
8,7.22,4.5,"[798] x 2, [20] x 2"
9,7.32,2.1,"[798] x 2, [20] x 2"
10,6.44,2.2,"[798] x 2, [20] x 2"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.01,5.6,[20] x 2
2,7.98,5.3,[20] x 2
3,7.68,4.2,[20] x 2
4,7.66,5.7,[20] x 2
5,7.34,4.2,[20] x 2
6,9.02,5.1,[20] x 2
7,8.73,8.9,"[209], [20] x 2"
8,8.31,8.6,[20] x 2
9,8.94,4.4,[20] x 2
10,5.67,5.4,"[209], [20] x 2"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.83,5.3,[20] x 2
2,7.98,3.5,[20] x 3
3,7.92,6.2,[20] x 2
4,8.02,6.8,[20] x 3
5,8.15,6.4,[20] x 3
6,8.22,4.6,[20] x 2
7,7.65,4.2,[20] x 3
8,7.89,2.1,"[20] x 3, [798]"
9,7.82,3.5,[20] x 3
10,7.22,8.7,[20] x 3
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.62,N/A,[20]
2,10.97,N/A,[20]
3,11.21,N/A,[20]
4,10.01,N/A,[20]
5,9.92,N/A,[20]
6,7.68,N/A,[20]
7,12.15,N/A,[20]
8,11.35,N/A,[20] x 2
9,9.87,N/A,[20]
10,10.19,N/A,[20] x 2
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.26,7.8,[20] x 2
2,10.93,11.3,[20] x 2
3,11.54,8.4,[20] x 2
4,11.53,10.9,[20] x 2
5,11.24,6.5,[20] x 2
6,11.63,6.8,[20] x 2
7,11.88,7.1,[20] x 2
8,10.75,7.9,[20] x 2
9,10.99,7.2,[20]
10,10.01,7.1,[20] x 2
