"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,26.76,5.8,None
2,23.32,7.3,"[22, 23, 36, 73, 99] x 4, [20] x 2"
3,32.67,5.1,[20] x 2
4,21.68,2.6,[20] x 2
5,29.19,7.3,None
6,25.38,3.4,[20] x 2
7,19.79,5.9,"[20] x 2, [22, 23, 36, 73, 99]"
8,22.74,8.1,"[22, 23, 36, 73, 99], [20] x 2"
9,23.04,2.3,"[22, 23, 36, 73, 99], [20]"
10,31,4.4,[20] x 2
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,36.09,3.9,"[20] x 2, [22, 23, 36, 73, 99], [79, 116]"
2,40.61,8.2,"[22, 23, 36, 73, 99] x 2, [20] x 2"
3,47.34,2.4,"[22, 23, 36, 73, 99] x 2, [20] x 2"
4,54.19,5.6,"[22, 23, 36, 73, 99] x 2, [20] x 2"
5,29.99,5.2,"[22, 23, 36, 73, 99] x 2, [20] x 2"
6,25.43,3.5,"[22, 23, 36, 73, 99] x 2, [20] x 2"
7,32.2,2.1,"[22, 23, 36, 73, 99] x 2, [20] x 2"
8,37.45,4.8,"[20] x 2, [22, 23, 36, 73, 99], [79, 116]"
9,34.78,6.4,"[20] x 2, [22, 23, 36, 73, 99], [79, 116]"
10,34.32,4.3,"[22, 23, 36, 73, 99] x 2, [20] x 2"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,39.45,3.8,[20]
2,36.55,7.5,[20]
3,50.93,5.7,[20] x 2
4,41.64,4.5,"[20] x 3, [22, 23, 36, 73, 99]"
5,45.58,3.4,[20] x 3
6,47.47,5.3,[20] x 2
7,36.19,2.1,[20]
8,38.64,4.8,[20] x 2
9,46.15,9.5,[20]
10,34.72,4.4,[20]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,35,5.8,[20] x 2
2,33.76,7.5,"[20], [22, 23, 36, 73, 99]"
3,27.49,3.3,[20] x 2
4,34.96,3.6,"[20] x 2, [22, 23, 36, 73, 99]"
5,29.44,7.4,"[20], [22, 23, 36, 73, 99]"
6,31.85,4.1,"[20] x 2, [22, 23, 36, 73, 99]"
7,34.84,2.4,[20] x 2
8,35.9,5.8,"[20] x 3, [22, 23, 36, 73, 99]"
9,31.94,5.5,"[20] x 2, [22, 23, 36, 73, 99]"
10,50.61,4.2,"[20] x 2, [22, 23, 36, 73, 99]"
