"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.89,2.4,"[798] x 2, [20] x 2, [209] x 2"
2,9.08,5.3,None
3,7.36,2.4,"[798] x 2, [20] x 2, [209] x 2"
4,7.32,1.4,"[798] x 2, [20] x 2, [209] x 2"
5,5.68,6.2,"[798] x 2, [20] x 2"
6,7.58,5.3,"[798] x 2, [20] x 2"
7,7.92,5.7,"[798] x 2, [20] x 2, [209] x 2"
8,7.31,5.4,"[798] x 2, [20] x 2, [209] x 2"
9,7.02,5.2,"[798] x 2, [20] x 2, [209] x 2"
10,7.18,5.5,"[798] x 2, [20] x 2"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.02,3.5,"[798] x 2, [20] x 2"
2,7.19,3.6,"[798] x 2, [20] x 2"
3,7.22,5.3,"[798] x 2, [20] x 2"
4,9.15,2.6,"[798] x 2, [20] x 2"
5,8.66,7.1,"[798] x 2, [20] x 2"
6,8.31,6.8,"[798] x 2, [20] x 2"
7,6.19,6.2,"[798] x 2, [20] x 2"
8,9.21,1.4,"[798] x 2, [20] x 2"
9,7.88,2.3,"[798] x 2, [20] x 2"
10,7.64,1.5,"[798] x 2, [20] x 2"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.9,3.4,"[20] x 2, [798] x 2"
2,6.13,3.2,"[20] x 2, [798] x 2"
3,6.74,5.6,"[20] x 2, [798] x 2"
4,7.52,7.3,"[20] x 2, [798] x 2"
5,8.18,7.4,"[20] x 2, [798] x 2"
6,7.36,1.2,"[20] x 2, [798] x 2"
7,8.09,3.2,"[20] x 2, [798] x 2, [209] x 2"
8,8.14,1.2,"[20] x 2, [798] x 2"
9,7.62,3.4,"[20] x 2, [798] x 2"
10,7.55,6.7,"[20] x 2, [798] x 2"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.44,N/A,[20]
2,5.16,N/A,[20]
3,9.87,N/A,[20]
4,6.64,N/A,"[798] x 2, [20]"
5,6.13,N/A,[20]
6,4.59,N/A,[20]
7,10.99,N/A,[20]
8,5.73,N/A,[20]
9,6.87,N/A,[20]
10,6.92,N/A,[20] x 3
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.24,1.2,"[798] x 2, [20] x 2"
2,11.45,2.3,"[798] x 2, [20] x 2"
3,10.31,3.3,[20] x 2
4,12.47,1.5,[20] x 2
5,10.98,6.8,"[798] x 2, [20] x 2"
6,11.36,6.5,"[798] x 2, [20] x 2"
7,11.78,3.3,"[798] x 2, [20] x 2"
8,11.55,2.5,"[798] x 2, [20] x 2"
9,11.73,7.8,[20] x 2
10,11.23,9.3,[20] x 2
