"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,18.09,3.5,"[798] x 2, [20] x 2, [501]"
2,19.12,6.2,"[798] x 2, [20], [501]"
3,16.28,3.7,"[798] x 2, [20]"
4,20.02,8.1,"[798] x 2, [20], [501]"
5,22.15,3.4,"[20] x 3, [501], [798] x 2"
6,23.14,4.2,"[798] x 2, [20] x 2, [501]"
7,20.24,5.3,"[798] x 2, [20], [501]"
8,22.16,5.4,"[798] x 2, [20] x 2, [501]"
9,22.49,5.6,"[798] x 2, [20] x 2, [501]"
10,25.01,7.9,"[798] x 2, [20] x 2, [501]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,20.01,3.3,"[798] x 2, [20], [501]"
2,22.15,5.6,"[20] x 2, [501]"
3,21.64,7.2,"[20], [501]"
4,22.94,7.8,"[798] x 2, [20] x 2, [501]"
5,22.41,9.2,"[798] x 2, [20], [501]"
6,23.16,1.2,"[20], [501]"
7,22.92,4.6,"[798], [20] x 2, [501]"
8,19.24,6.3,"[20] x 3, [501]"
9,25.16,3.5,"[20], [501]"
10,24.22,6.3,"[20] x 4, [501]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,21.22,5.3,"[798] x 2, [20] x 2, [501]"
2,29.83,4.6,"[798] x 2, [20], [501]"
3,25.17,7.8,"[798] x 2, [20] x 2, [501]"
4,23.42,9.1,"[798] x 2, [20] x 2, [501]"
5,24.85,3.3,"[20] x 2, [501]"
6,25.96,2.9,"[20] x 2, [501]"
7,20.08,11.3,"[20] x 2, [501]"
8,21.37,5.6,"[20], [501]"
9,20.02,2.3,"[20], [501]"
10,22.26,4.5,"[20] x 2, [501]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,14.35,N/A,"[20] x 2, [501]"
2,11.28,N/A,"[20] x 2, [501]"
3,17.75,N/A,"[20] x 2, [501]"
4,11.18,N/A,"[798] x 2, [20] x 2, [501]"
5,13.15,N/A,"[20] x 2, [501]"
6,14.57,N/A,"[20] x 2, [501]"
7,16.43,N/A,"[20] x 2, [501]"
8,13.49,N/A,"[20] x 2, [501]"
9,11.87,N/A,"[20] x 2, [501]"
10,19.33,N/A,"[20] x 2, [501]"
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,22.32,5.5,"[20] x 2, [501]"
2,29.08,7.2,"[20], [501]"
3,29.92,3.4,"[20] x 2, [501]"
4,30.02,5.8,"[20], [501]"
5,25.16,9.1,"[20], [501]"
6,20.33,3.2,"[20] x 2, [501]"
7,24.16,2.9,"[20] x 2, [501]"
8,22.48,8.9,"[20] x 3, [501]"
9,23.19,9.1,"[20], [501]"
10,21.17,2.1,"[20] x 2, [501]"
