"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,5.3,"[20], [113], [601]"
2,,4.6,None
3,,7.8,None
4,,,None
5,,,"[20], [113], [601]"
6,,,None
7,,,None
8,,,None
9,,,None
10,,,"[20], [113], [601]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,15.55,3.3,None
2,16.29,2.5,None
3,22.37,2.6,None
4,19.55,7.2,None
5,18.79,1.6,None
6,20.02,7.6,None
7,23.31,8.9,None
8,22.11,9.7,None
9,20.01,8.3,None
10,20.33,4.4,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,None
2,,,"[20], [501]"
3,,,None
4,,,None
5,,,None
6,,,[20]
7,,,None
8,,,None
9,,,None
10,,,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,13.41,N/A,None
2,16.75,N/A,None
3,16.54,N/A,None
4,13.53,N/A,None
5,11.87,N/A,[20]
6,11.71,N/A,None
7,11.72,N/A,None
8,12.65,N/A,None
9,11.89,N/A,None
10,19.57,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,None
2,,,None
3,,,"[20], [601]"
4,,,"[20], [113], [601]"
5,,,None
6,,,"[20], [113]"
7,,,"[20], [113], [601]"
8,,,"[20], [113], [601]"
9,,,None
10,,,None
