"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,19.02,3.4,"[798] x 2, [20] x 2"
2,20.01,2.5,"[20] x 2, [798] x 2"
3,18.77,6.5,[20]
4,17.84,7.2,[798]
5,17.93,2.8,"[20] x 2, [798] x 2"
6,18.47,6,[20]
7,18.14,4.3,"[327, 328], [20]"
8,18.21,5.8,[798]
9,18.31,9.2,"[327, 328], [20]"
10,18.49,3.4,"[79, 116], [798] x 2, [20] x 2"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,21.19,3.2,[20] x 2
2,20.98,4.6,[20] x 2
3,22.51,5.4,[20] x 2
4,23.73,5.7,[20]
5,22.48,5.8,[20]
6,21.49,9.2,[20]
7,20.92,4.1,[20]
8,28.95,3.5,[20]
9,26.14,6.1,[20]
10,22.1,2.9,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,22.41,5.6,[20]
2,22.78,7.8,[20] x 2
3,23.13,9.2,[20]
4,20.99,4.6,[20]
5,22.31,10.2,[20]
6,21.87,11.4,[20] x 2
7,19.75,12.2,[20]
8,25.27,10.1,[20]
9,20.33,7.4,[20]
10,24.71,3.6,[20]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,24.75,N/A,[20] x 2
2,20.91,N/A,[20] x 2
3,23.21,N/A,[20] x 2
4,29.08,N/A,[20] x 2
5,20.39,N/A,[20] x 3
6,15.53,N/A,[20] x 2
7,19.55,N/A,[20] x 2
8,15.51,N/A,[20] x 2
9,17.68,N/A,None
10,19.54,N/A,[20] x 2
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,25.18,5.5,[20] x 2
2,24.18,5.2,[20]
3,22.31,7.9,[20]
4,22.44,10.5,[20]
5,22.91,11.2,[20]
6,20.31,9.7,[20] x 2
7,20.68,8.3,[20]
8,21.72,6.4,[20]
9,21.88,4.8,[20]
10,26.77,7.1,[20]
