"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,322.29,8.8,[20] x 3
2,303.14,7.2,[20] x 3
3,500.47,6.7,"[117], [20] x 3"
4,305.78,3.4,[20] x 3
5,290.93,9.2,[20] x 3
6,418.96,3.9,[20]
7,663.33,6.9,"[798], [770, 307, 400], [20] x 2"
8,377.08,5.4,"[117], [20] x 3"
9,267.33,4.8,[20] x 3
10,384.69,3.7,[20] x 2
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,197.22,3.3,[20]
2,202.36,5.6,[20]
3,197.69,7.2,[20]
4,181.02,4.5,[20]
5,165.05,6.4,[20] x 4
6,176.33,3.5,[20]
7,239.77,7.5,[20]
8,206.82,5.5,[20]
9,238.63,4.3,"[798], [770, 307, 400], [20] x 2"
10,239.02,2.5,"[798], [770, 307, 400], [20] x 2"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,141.25,6.1,[20] x 4
2,171.35,2.3,[20]
3,171.55,5.4,None
4,159.35,11.3,[20] x 3
5,173.37,7.3,[20]
6,188.19,9.2,[20] x 3
7,178.78,8.8,[20] x 4
8,162.04,4.3,[117]
9,163.95,5.2,[20] x 2
10,172.89,10.1,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,69.17,N/A,[20] x 2
2,46.32,N/A,[20] x 2
3,146.74,N/A,[20] x 2
4,113.96,N/A,"[770, 307, 400], [22, 23, 36, 73, 99], [20]"
5,143.52,N/A,"[770, 307, 400], [22, 23, 36, 73, 99], [20]"
6,101.77,N/A,[20] x 2
7,37.75,N/A,"[770, 307, 400], [22, 23, 36, 73, 99], [20]"
8,94.74,N/A,"[770, 307, 400], [22, 23, 36, 73, 99], [20]"
9,58.26,N/A,"[770, 307, 400], [22, 23, 36, 73, 99], [20]"
10,101.55,N/A,[20] x 2
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,181.99,5.3,[20]
2,197.84,6.2,"[117], [20] x 2"
3,208.66,6.5,None
4,180.71,6.5,None
5,219.91,6.2,None
6,185.46,3.5,"[117], [20] x 2"
7,155.25,1.4,[20]
8,197.45,5.2,"[117], [20]"
9,189.33,3.4,"[117], [20] x 2"
10,230.36,2.8,None
