"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,226.81,5.6,[20]
2,345.59,8.7,[20]
3,254.41,11.3,[20]
4,174.26,10.2,[20]
5,181.61,13.4,[20]
6,339.07,9.8,[20]
7,367.03,7.8,[20]
8,287.83,6.2,[20]
9,218.12,7.8,[20]
10,221.85,5.2,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,144.77,5.5,[20]
2,100.44,4.2,[20]
3,98.64,1.8,[20]
4,101.27,6.2,[20]
5,96.99,7.8,[20]
6,146.4,9.1,[20]
7,351.29,11.3,[20]
8,82.86,4.5,[20]
9,125.97,6.7,[20]
10,82.42,2.3,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,87.99,5.5,[20]
2,113.43,4.7,[20]
3,86.38,2.4,[20]
4,99.03,6.1,[20]
5,152.28,2.4,[20]
6,111.88,2.3,[20]
7,71.73,2.8,[20]
8,110.82,9.2,[20]
9,83.65,4.6,[20]
10,127.14,7.2,[20]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,126.22,N/A,[20]
2,94.93,N/A,[20]
3,99.27,N/A,[20]
4,92.25,N/A,[20]
5,77.23,N/A,[20]
6,103.64,N/A,[20]
7,112.25,N/A,[20]
8,123.95,N/A,[20]
9,88.54,N/A,[20]
10,96.42,N/A,[20]
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,156.36,3.4,[20]
2,176.93,2.5,[20]
3,167.53,6.6,[20]
4,147.16,4.2,[20]
5,113.52,4.7,[20]
6,142.81,4.6,[20]
7,112.24,2.4,[20]
8,154.27,1.8,[20]
9,157.77,8.5,[20]
10,244.77,3.2,[20]
