"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,791.92,5.5,"[770, 307, 400], [78]"
2,791.77,7.8,[918]
3,790.92,9.2,"[770, 307, 400]"
4,279.67,5.6,[918]
5,323.87,3.5,"[770, 307, 400], [78]"
6,243.63,6.2,"[770, 307, 400], [20, 80, 116], [78]"
7,771.96,1.5,"[770, 307, 400], [78], [20]"
8,555.62,6.2,"[770, 307, 400], [78]"
9,453.61,2.3,"[770, 307, 400], [78]"
10,288.02,4.4,"[770, 307, 400], [78], [20]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,437.65,3.3,"[770, 307, 400]"
2,132.78,4.1,"[770, 307, 400]"
3,142.47,2.5,"[770, 307, 400]"
4,561.6,6.4,"[770, 307, 400]"
5,224.38,1.2,"[770, 307, 400]"
6,185.61,3.5,"[770, 307, 400]"
7,181.38,6.3,"[770, 307, 400]"
8,207.13,2.1,"[770, 307, 400]"
9,175.08,3.5,"[770, 307, 400], [78], [20]"
10,428.89,5.3,"[770, 307, 400], [78]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,146.22,5.3,None
2,309.96,5.6,"[770, 307, 400]"
3,108.73,2.8,"[770, 307, 400]"
4,130.94,9.2,None
5,233.44,2.4,"[770, 307, 400], [78]"
6,93.75,6.3,"[770, 307, 400]"
7,148.27,5.8,"[770, 307, 400]"
8,184.27,6.1,"[770, 307, 400]"
9,129.56,7.9,None
10,115.35,8.7,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,84.03,N/A,"[770, 307, 400]"
2,100.69,N/A,"[770, 307, 400]"
3,83.36,N/A,"[770, 307, 400]"
4,90.08,N/A,None
5,107.27,N/A,"[770, 307, 400]"
6,76.9,N/A,"[770, 307, 400]"
7,104,N/A,None
8,64.51,N/A,"[770, 307, 400]"
9,117.69,N/A,None
10,86.89,N/A,"[770, 307, 400]"
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,183.68,3.5,"[770, 307, 400]"
2,143.79,3.2,"[770, 307, 400]"
3,165.14,6.7,"[770, 307, 400]"
4,209.42,8.1,None
5,146.89,5.9,"[770, 307, 400]"
6,159.41,8.3,"[770, 307, 400]"
7,161.28,5.6,"[770, 307, 400]"
8,133.99,4.2,None
9,134.51,5.8,"[770, 307, 400]"
10,142.27,8.3,None
