"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,2.93,4.7,"[20], [79, 116]"
2,2.81,2.1,[20]
3,2.89,1.1,"[20], [79, 116]"
4,3.02,2.4,"[20], [79, 116]"
5,3.05,2.3,"[20], [79, 116]"
6,2.99,4.2,"[20], [79, 116]"
7,2.78,6.2,"[20], [79, 116]"
8,2.92,3.5,"[20], [79, 116]"
9,2.91,7.2,"[20], [79, 116]"
10,2.94,5.6,"[20], [79, 116]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.03,4.7,[20]
2,3.98,1.3,[20]
3,4.11,1.1,[20] x 2
4,4.24,2.5,[20]
5,4.61,9.8,[20]
6,3.98,10.3,[20]
7,4.05,6.8,[20]
8,4.07,9.2,[20]
9,4.02,5.4,[20]
10,3.97,12.2,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.54,4.7,None
2,11.03,7.3,None
3,10.92,5.6,None
4,10.53,4.2,None
5,10.16,3.4,None
6,10.95,9.1,None
7,11.12,8.2,None
8,10.87,6.7,None
9,10.01,6.2,None
10,9.76,9.5,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.54,N/A,None
2,2.53,N/A,None
3,6.32,N/A,None
4,4.15,N/A,None
5,5.61,N/A,None
6,4.89,N/A,None
7,9.18,N/A,None
8,3.89,N/A,None
9,4.99,N/A,None
10,3.55,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.22,2.3,None
2,9.78,4.1,None
3,11.31,5.6,None
4,9.99,7.2,None
5,10.01,3.4,None
6,10.47,4.6,None
7,11.49,2.2,None
8,11.31,4.3,None
9,12.62,3.5,None
10,10.57,3.1,None
