"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.09,4.6,"[770, 307, 400], [798], [20], [916]"
2,3.52,5.3,"[770, 307, 400], [798], [20], [916]"
3,3.78,1.3,"[770, 307, 400], [798], [20], [916]"
4,3.91,2.2,"[770, 307, 400], [798], [20]"
5,3.44,8.4,"[770, 307, 400], [798], [20], [916]"
6,3.38,5.4,"[770, 307, 400], [798], [20]"
7,4.01,3.6,"[770, 307, 400], [798], [20]"
8,3.94,1.2,"[770, 307, 400], [798], [20], [916]"
9,3.55,2.1,"[770, 307, 400], [798], [20], [916]"
10,3.52,7.3,"[770, 307, 400], [798], [20]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.02,4.6,"[770, 307, 400], [798], [20]"
2,7.98,2.1,"[770, 307, 400], [798], [20]"
3,8.57,3.6,"[798], [20]"
4,9.01,7.1,"[770, 307, 400], [798], [20]"
5,8.44,2.9,"[770, 307, 400], [798], [20]"
6,8.92,1.1,"[798], [20]"
7,8.51,5.6,"[798], [20]"
8,7.99,2.4,"[798], [20]"
9,8.39,6.5,"[798], [20]"
10,7.41,8.7,"[770, 307, 400], [798], [20]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.01,3.1,"[798], [20]"
2,5.28,7.1,"[798], [20]"
3,6.03,5.4,None
4,5.98,1.1,[20]
5,6.58,2.9,"[798], [20]"
6,7.05,3.5,[20]
7,6.93,1.3,[20]
8,5.31,9.8,"[798], [20]"
9,5.46,7.8,[20]
10,5.47,16.9,"[798], [20]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.43,N/A,[20]
2,7.58,N/A,None
3,5.89,N/A,[20]
4,6.71,N/A,"[770, 307, 400], [20]"
5,8.44,N/A,"[770, 307, 400], [20]"
6,12.98,N/A,[20]
7,13.42,N/A,"[770, 307, 400], [20]"
8,5.66,N/A,None
9,10.92,N/A,[20]
10,3.93,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,13.51,6.6,[20]
2,14.98,5.3,"[770, 307, 400]"
3,17.83,4.6,"[770, 307, 400]"
4,16.92,8.7,[20]
5,13.44,9.2,"[770, 307, 400], [20] x 2"
6,15.24,11.3,"[770, 307, 400], [20]"
7,16.09,11.5,[20]
8,13.01,10.2,"[770, 307, 400]"
9,12.17,9.8,[20]
10,11.12,10.1,"[770, 307, 400]"
