"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,48.47,2.7,[20]
2,39.9,6.8,[20]
3,62.98,5.3,[20]
4,59.58,5.4,[20]
5,55.14,4.9,[20]
6,61.01,7.8,[20]
7,33.26,1.2,[20]
8,39.85,3.4,[20]
9,39.61,2.1,[20]
10,37.36,2.5,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,36.18,2.3,"[20], [79, 116]"
2,39.9,4.5,[20]
3,35.97,1.2,"[20], [79, 116]"
4,36.09,4.2,"[20], [79, 116]"
5,47.4,3.7,"[20], [79, 116]"
6,31.2,6.4,"[20], [79, 116]"
7,35.94,4.3,"[20], [79, 116]"
8,28.17,2.7,"[20], [79, 116]"
9,31.71,8.3,"[20], [79, 116]"
10,35.88,3.9,"[20], [79, 116]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,49.84,2.7,None
2,44.76,8.3,[20]
3,46.39,4.5,None
4,48.62,4.2,None
5,64.38,2.7,[20]
6,42.07,7.4,None
7,42.48,4.6,None
8,43.88,7.3,None
9,39.95,2.2,None
10,44.11,1.6,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,45.18,3.6,None
2,42.48,7.3,None
3,39.79,8.9,None
4,37.69,2.3,None
5,30.67,1.5,None
6,34.47,4.3,None
7,25.38,8.7,None
8,30.66,6.5,None
9,28.34,4.6,None
10,19.55,4.2,None
