"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,57.44,3.2,"[798], [770, 307, 400], [20]"
2,69.21,4.5,"[798], [770, 307, 400], [20]"
3,32.05,1.9,"[798], [770, 307, 400], [20]"
4,39.92,2.1,"[798], [770, 307, 400], [20]"
5,93.36,3.5,"[798], [770, 307, 400], [20]"
6,50.67,6.2,"[798], [770, 307, 400], [20]"
7,75.57,3.5,"[798], [770, 307, 400], [20]"
8,33.82,3.4,"[798], [770, 307, 400], [20]"
9,62.3,4.2,"[798], [20]"
10,43.95,4.2,"[798], [770, 307, 400], [20] x 2"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,53.71,2.1,"[770, 307, 400], [20]"
2,49.36,1.8,"[770, 307, 400]"
3,54.32,7.3,"[770, 307, 400]"
4,65.5,4.2,"[770, 307, 400]"
5,78.07,5.6,"[770, 307, 400], [20]"
6,67.33,5.5,"[770, 307, 400]"
7,57.91,5.8,"[770, 307, 400]"
8,43.62,6.1,"[770, 307, 400]"
9,46.94,4.9,"[770, 307, 400]"
10,57.22,4.2,"[770, 307, 400]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,20.39,2,"[770, 307, 400]"
2,19.54,2.8,"[770, 307, 400]"
3,19.11,3.1,"[770, 307, 400]"
4,18.97,1.9,"[770, 307, 400], [20] x 2"
5,18.56,4.5,"[770, 307, 400], [843]"
6,18.88,4.2,"[798], [770, 307, 400], [20]"
7,18.34,3.6,[798]
8,15.75,5.2,"[770, 307, 400]"
9,26.05,1.7,"[770, 307, 400]"
10,26.5,3.2,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,17.07,2.1,"[770, 307, 400], [20]"
2,18.96,3.8,"[770, 307, 400], [20]"
3,15.02,4.3,"[798], [770, 307, 400]"
4,16,5.6,"[770, 307, 400], [20]"
5,17.57,3.2,"[770, 307, 400], [20]"
6,22.69,2.1,"[770, 307, 400]"
7,18.19,3.8,"[770, 307, 400]"
8,16.35,5.5,"[770, 307, 400], [20]"
9,17.62,4.6,"[770, 307, 400], [20]"
10,14.64,3.2,"[770, 307, 400]"
