"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,28.47,2.9,[20]
2,30.94,3.1,[20]
3,30.28,7.8,[20]
4,36.54,4.5,[20]
5,33.2,4.2,[20]
6,26.87,6.3,[20]
7,42.84,5.7,[20]
8,31.8,8.1,[20]
9,34.71,2.4,[20]
10,31.85,2.1,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,29.99,2.8,[20]
2,26.73,6.7,[20]
3,22.98,3.1,[20]
4,20.73,2.5,[20]
5,31.64,6.3,[20]
6,32.19,3.8,[20]
7,26.83,7.4,[20]
8,33.47,4.2,[20]
9,34.59,2.1,[20]
10,27.05,3.6,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,36.42,2.1,[20]
2,38.96,2.9,[20]
3,36.65,3.4,[20]
4,45.44,2.5,[20]
5,54.27,6.3,[20]
6,64.68,4.9,[20]
7,54.44,8.5,[20]
8,60.42,10.2,[20]
9,65.67,4.8,[20]
10,40.85,7.7,[20]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,27,3.4,[20]
2,36.2,5.1,[20]
3,21.83,2.7,[20]
4,44.59,8.9,[20]
5,16.21,8.3,[20]
6,30.8,4.5,[20]
7,26.78,6.4,[20]
8,20.9,3.4,[20]
9,17.68,5.6,[20]
10,25.27,3.2,[20]
