"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,40.73,2.3,None
2,36.43,5.6,None
3,24.76,3.7,None
4,35.19,2.1,None
5,40.08,3.6,None
6,34.44,6.5,[916]
7,36.79,4.2,None
8,30.89,2.4,None
9,29.38,5.3,None
10,37.3,2.1,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,40.72,2.3,None
2,30.26,3.7,None
3,32.46,3.1,None
4,25.19,4.6,None
5,29.69,4.2,None
6,40.89,3.5,None
7,33.74,6.2,None
8,27.27,3.6,None
9,25.98,6.8,None
10,36.76,9.2,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,35.32,2.3,None
2,33.66,4.5,None
3,32.4,6.1,None
4,27.65,2.8,None
5,28.11,7.5,None
6,32.93,6.9,None
7,40.65,5.4,None
8,32.57,2.2,None
9,27.05,1.5,None
10,40.6,4.3,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,28.68,3.3,None
2,27.59,5.7,None
3,26.87,5.1,None
4,34.59,4.6,None
5,28.37,4.2,None
6,27.46,3.5,None
7,29.87,6.7,None
8,25.66,5.3,None
9,38.69,3.2,None
10,31.04,1.4,None
