"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,97.25,3.2,"[770, 307, 400]"
2,52.54,4.5,"[770, 307, 400], [20] x 3"
3,62.28,4.2,"[770, 307, 400], [20]"
4,38.72,4.6,"[770, 307, 400]"
5,47.76,4.2,"[770, 307, 400], [20]"
6,50.52,1.6,"[770, 307, 400], [20]"
7,49.46,7.4,"[770, 307, 400], [20]"
8,36.59,3.5,"[770, 307, 400]"
9,69.24,8.2,"[770, 307, 400], [20] x 2"
10,65.15,4.1,"[770, 307, 400], [20]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,112.53,2.3,None
2,110.48,3.1,"[770, 307, 400], [20] x 5"
3,118.94,2.9,None
4,106.04,4.5,None
5,91.76,5.2,"[770, 307, 400], [20]"
6,40.43,6.7,"[770, 307, 400]"
7,32.53,2.3,"[770, 307, 400]"
8,46.48,4.6,"[770, 307, 400]"
9,51.55,1.8,"[770, 307, 400], [20] x 2"
10,43.04,5.4,"[770, 307, 400], [20]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,45.29,2.3,"[770, 307, 400], [20] x 2"
2,54.52,5.1,None
3,50.95,6.7,None
4,56.22,3.4,None
5,61.25,2.1,None
6,50.47,2.6,"[770, 307, 400], [20] x 2"
7,46.7,7,"[770, 307, 400]"
8,42.88,3.4,None
9,64.62,9.8,None
10,51.74,4.2,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,64.3,2.3,None
2,40.19,5.4,None
3,39.74,2.8,None
4,39.72,9.3,"[770, 307, 400]"
5,38.21,2.1,None
6,36.26,5.6,None
7,37.21,3.3,None
8,39.38,2.6,None
9,44.05,6.3,"[770, 307, 400]"
10,34.46,4.5,None
