"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.83,4.3,"[770, 307, 400], [20]"
2,9.36,6.2,"[770, 307, 400], [20]"
3,9.02,3.8,"[770, 307, 400], [20]"
4,9.88,8.3,"[770, 307, 400], [20]"
5,10.01,2.2,"[770, 307, 400], [20]"
6,9.55,7.9,"[770, 307, 400], [20]"
7,9.52,4.6,"[770, 307, 400], [20]"
8,9.63,2.9,"[770, 307, 400], [20]"
9,9.19,8.3,"[770, 307, 400], [20]"
10,9.21,7.1,"[770, 307, 400], [20]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,14.03,4.3,"[770, 307, 400]"
2,13.52,1.4,"[770, 307, 400]"
3,11.98,1.7,"[770, 307, 400], [20]"
4,14.61,5.3,"[770, 307, 400]"
5,14.67,2.6,"[770, 307, 400]"
6,14.92,10.8,"[770, 307, 400]"
7,14.37,6.9,"[770, 307, 400], [20]"
8,14.28,10.3,"[770, 307, 400], [20]"
9,14.01,7.1,"[770, 307, 400]"
10,14.02,13.2,"[770, 307, 400]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.02,11.6,"[770, 307, 400]"
2,10.61,9.2,"[770, 307, 400]"
3,10.38,6.8,"[770, 307, 400], [20]"
4,11.92,3.4,"[770, 307, 400], [20]"
5,10.11,7.6,"[770, 307, 400]"
6,12.03,11.1,"[770, 307, 400], [20]"
7,10.27,10.2,"[770, 307, 400]"
8,10.81,4.7,"[770, 307, 400], [20]"
9,10.37,3.9,"[770, 307, 400], [20]"
10,10.19,8.5,"[770, 307, 400]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),Memory Usage (kB),CWEs Detected
1,9.53,N/A,"[770, 307, 400]"
2,8.12,N/A,"[770, 307, 400], [20]"
3,16.24,N/A,"[770, 307, 400]"
4,12.67,N/A,"[770, 307, 400]"
5,15.41,N/A,"[770, 307, 400]"
6,13.77,N/A,"[770, 307, 400]"
7,11.99,N/A,"[770, 307, 400], [20]"
8,13.32,N/A,"[770, 307, 400]"
9,21.73,N/A,"[770, 307, 400]"
10,8.74,N/A,"[770, 307, 400]"
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.02,5.7,"[770, 307, 400]"
2,9.16,6.8,"[770, 307, 400], [20]"
3,9.55,9.2,"[770, 307, 400]"
4,10.11,6.7,"[770, 307, 400]"
5,10.02,5.4,"[770, 307, 400]"
6,10.55,10.7,"[770, 307, 400]"
7,10.22,9.7,"[770, 307, 400]"
8,8.66,6.4,"[770, 307, 400]"
9,9.52,12.2,"[770, 307, 400]"
10,9.33,16.3,"[770, 307, 400]"
