"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.09,4.5,[20] x 2
2,9.13,2.2,[20]
3,8.71,8.7,[20] x 2
4,8.92,5.3,[20] x 2
5,8.31,6.7,[20] x 2
6,8.67,9.2,[20] x 2
7,8.25,10.8,[20] x 2
8,8.19,11.3,[20] x 2
9,8.01,6.7,[20] x 2
10,8.22,12.4,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.03,4.5,"[770, 307, 400], [20], [912, 434]"
2,10.09,1.1,[20] x 2
3,9.35,6.7,[20] x 2
4,10.34,4.5,[20] x 2
5,9.68,6.2,[20] x 2
6,9.72,7.8,[20] x 2
7,9.33,4.5,[20] x 2
8,10.01,9.3,[20] x 2
9,10.08,8.9,[20] x 2
10,10.06,10.2,[20] x 2
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.32,7.4,None
2,11.76,9.9,[20]
3,11.52,7.5,[20]
4,10.92,8.1,None
5,11.66,5.3,[20]
6,11.32,2.1,[20]
7,11.68,3.4,[20]
8,11.21,1.1,None
9,11.92,1.3,None
10,11.29,4.6,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,13.34,N/A,[20]
2,12.02,N/A,[20]
3,11.31,N/A,[20] x 2
4,11.08,N/A,None
5,13.69,N/A,None
6,13.24,N/A,[20]
7,11.45,N/A,None
8,14.82,N/A,[20]
9,9.55,N/A,[20] x 2
10,13.42,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,17.83,11.3,[20]
2,20.09,8.3,[20]
3,21.45,6.2,[20]
4,16.59,7.5,[20]
5,17.48,6.4,None
6,18.36,6.8,None
7,18.93,9.2,[20]
8,18.34,5.6,[20]
9,18.47,7.3,None
10,19.22,16.2,None
