"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.71,6.1,"[770, 307, 400], [78]"
2,7.02,5.7,"[770, 307, 400], [78]"
3,6.58,7.9,"[770, 307, 400], [78]"
4,7.35,4.1,"[770, 307, 400], [78]"
5,9.12,3.4,"[770, 307, 400], [78]"
6,6.58,7.2,"[770, 307, 400], [78]"
7,7.39,5.6,"[770, 307, 400]"
8,7.12,9.2,"[770, 307, 400]"
9,7.02,5.8,"[770, 307, 400]"
10,7.33,7.3,"[770, 307, 400], [78]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,14.21,4.4,"[770, 307, 400]"
2,13.09,5.6,"[770, 307, 400]"
3,14.57,7.3,"[770, 307, 400]"
4,15.01,2.2,"[770, 307, 400]"
5,14.33,8.9,"[770, 307, 400]"
6,14.36,9.1,None
7,14.02,3.4,None
8,14.09,5.4,"[770, 307, 400]"
9,14.98,4.7,"[770, 307, 400]"
10,14.57,4.9,"[770, 307, 400]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,17.08,4.3,"[770, 307, 400], [20]"
2,11.37,8.9,"[770, 307, 400]"
3,22.98,9.2,"[770, 307, 400]"
4,11.67,3.5,"[770, 307, 400]"
5,16.81,6.2,"[770, 307, 400]"
6,15.53,7.8,"[770, 307, 400]"
7,13.02,9.2,"[770, 307, 400]"
8,9.97,4.4,"[770, 307, 400]"
9,19.78,5.5,"[770, 307, 400]"
10,11.12,7.9,"[770, 307, 400]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.12,N/A,None
2,10.63,N/A,None
3,8.79,N/A,None
4,9.13,N/A,None
5,16.02,N/A,None
6,12.77,N/A,None
7,11.43,N/A,None
8,9.66,N/A,None
9,13.19,N/A,None
10,11.4,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,20.02,8.3,"[770, 307, 400]"
2,19.98,6.8,"[770, 307, 400]"
3,19.28,7.2,"[770, 307, 400]"
4,20.45,7.5,"[770, 307, 400]"
5,20.42,7.9,"[770, 307, 400]"
6,20.73,6.9,"[770, 307, 400]"
7,19.98,7.1,"[770, 307, 400]"
8,19.22,7.3,"[770, 307, 400]"
9,19.03,10.1,"[770, 307, 400]"
10,19.15,11.9,"[770, 307, 400]"
