"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,19.78,3.4,"[22, 23, 36, 73, 99]"
2,26.2,5.2,None
3,24.84,1.7,None
4,29.38,5.3,"[209, 497]"
5,30.43,2.6,None
6,32.69,5.9,"[22, 23, 36, 73, 99]"
7,36.08,4.7,"[209, 497]"
8,34.17,4.3,None
9,26.15,4.2,None
10,27.73,1.5,"[22, 23, 36, 73, 99]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,49.65,5.5,None
2,43.64,4.9,None
3,33.6,10.3,None
4,53.2,5.1,"[209, 497] x 2"
5,43.98,6.7,"[209, 497] x 2"
6,35.8,6,"[209, 497] x 2, [22, 23, 36, 73, 99], [215, 489]"
7,39.18,3.1,"[209, 497] x 2"
8,22.54,4.8,None
9,31.13,6.3,None
10,31.62,3,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,54.4,4.5,None
2,37.73,7.9,None
3,41.19,5,None
4,38.59,6.2,None
5,34.5,4.8,None
6,38.95,5.3,None
7,30.74,3.7,None
8,31.25,1.2,None
9,33.03,4.2,None
10,39.9,1.8,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,43.66,2.9,None
2,31.37,3.1,None
3,29.01,4.5,None
4,32.69,6.2,None
5,36.03,6.3,None
6,29.03,4.5,None
7,31.16,5.7,None
8,29.14,5.3,None
9,35.02,5.3,None
10,24.99,2.6,None
