"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,41.51,3.2,"[209, 497], [79, 116], [215, 489]"
2,25.85,3.6,"[209, 497], [79, 116]"
3,30.57,7.3,"[209, 497], [79, 116]"
4,28.03,4.5,"[79, 116], [215, 489]"
5,30.47,1.2,"[209, 497], [79, 116]"
6,28.23,7.8,"[209, 497], [79, 116], [215, 489]"
7,24.17,3.9,"[79, 116]"
8,26.58,9.8,"[79, 116]"
9,36.26,5.1,"[79, 116], [215, 489]"
10,29.17,3.5,"[209, 497], [79, 116], [215, 489]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,30.38,5.7,"[79, 116]"
2,21.8,8.3,"[79, 116]"
3,23.91,5.3,"[79, 116]"
4,22.89,4.7,"[79, 116]"
5,27.6,5.2,"[79, 116]"
6,55.14,1.8,"[79, 116]"
7,24.5,9.2,"[79, 116]"
8,24.84,3.4,"[79, 116]"
9,24.47,4.1,"[79, 116]"
10,22.56,4.2,"[79, 116]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,39.36,5.5,None
2,37.94,7.8,None
3,33.08,7.2,None
4,40.08,3.5,None
5,44.09,5.1,None
6,69.91,3.6,None
7,46.9,2.9,None
8,45.63,2.7,None
9,45.18,3.1,None
10,22.24,3.3,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,25.89,3.9,None
2,43.6,3.1,None
3,33.84,3.5,None
4,37.19,8.3,None
5,30.31,4.1,None
6,24.6,2.9,None
7,23.94,4.4,None
8,25.91,5.2,None
9,23.59,6.5,None
10,29.95,3.6,None
