"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,34.14,5.3,"[215, 489]"
2,27.7,6.7,None
3,39.13,6.3,None
4,36.7,3.4,None
5,34.31,5.7,None
6,39.06,8.1,None
7,44.45,3.4,None
8,46.9,3.2,None
9,40.97,1.6,None
10,35.7,6.5,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,45.41,5.3,None
2,25.6,4.1,None
3,30.38,6.8,None
4,43.56,6.9,None
5,43.42,7.1,None
6,42.01,3.3,None
7,35.46,4.2,None
8,31.86,5.7,[601]
9,41.15,5.2,None
10,35.74,2.4,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,72.78,9.1,None
2,47.06,10.8,None
3,41.48,7.4,None
4,51.41,7.8,None
5,57.73,5.3,None
6,61.34,2.7,None
7,58.83,7.2,None
8,50.19,7.3,None
9,42.41,9.3,None
10,45.41,8.4,[601]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,31.71,6.6,None
2,32.67,6.1,None
3,41.31,7.9,None
4,35.93,4.2,None
5,32.31,4.8,None
6,37.33,7.2,None
7,34.1,6.3,None
8,38.86,5.5,None
9,55.43,5.8,[601]
10,27.88,2.1,None
