"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,40.47,3.6,None
2,24.08,2.9,"[209, 497], [215, 489]"
3,32.64,1.3,None
4,31.21,5.8,[78]
5,37.47,4.2,None
6,26.76,6.8,"[78], [209, 497]"
7,28.53,6.1,[78]
8,21.8,3.4,[78]
9,36.15,4.2,[78]
10,33.7,5.6,"[78], [215, 489]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,37.17,5.3,None
2,30.43,7.9,"[78], [209, 497]"
3,32.19,7.1,[78]
4,33.09,6.5,[78]
5,34.22,5.5,[78]
6,33.2,5.4,"[78], [215, 489]"
7,32.04,5.7,"[78], [209, 497], [215, 489]"
8,33.46,7.5,"[78], [215, 489]"
9,38.11,6.2,"[78], [209, 497], [215, 489]"
10,37.12,3.4,"[78], [215, 489]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,40.24,3.8,None
2,35.62,3.1,[78]
3,55.08,2.9,None
4,34.64,1.9,[78]
5,44.93,4.1,[78]
6,76.19,5.8,None
7,55.1,8.2,None
8,64.98,3.7,None
9,51.09,6.4,None
10,51.07,3.3,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,59.22,3.9,[918]
2,47.89,1.8,None
3,32.19,7.9,None
4,48.63,7.4,None
5,46.81,10.3,[918]
6,33.44,5.6,None
7,28.86,6.2,[78]
8,30.95,2.1,None
9,29.65,4.5,[78]
10,40.64,5.3,None
