"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.06,2.5,"[79, 116], [209, 497]"
2,3.87,3.1,"[79, 116], [209, 497]"
3,2.86,3.2,"[79, 116], [209, 497]"
4,3.01,3.3,"[79, 116], [209, 497]"
5,3.88,1.3,"[79, 116], [209, 497]"
6,4.91,2.4,"[79, 116], [209, 497]"
7,3.65,6.1,"[79, 116], [209, 497]"
8,4.02,4.1,"[79, 116], [209, 497]"
9,3.75,7.8,"[79, 116], [209, 497]"
10,4.02,6.5,"[79, 116], [209, 497]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.31,2.5,"[79, 116]"
2,5.07,2.5,"[79, 116]"
3,4.99,3.8,"[79, 116]"
4,5.34,4.1,"[79, 116]"
5,6.02,4.2,"[79, 116]"
6,4.42,3.9,"[79, 116]"
7,4.94,4.4,"[79, 116]"
8,4.63,4.1,"[79, 116]"
9,4.68,5.6,"[79, 116]"
10,4.19,8.1,"[79, 116]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.67,2.5,"[209, 497]"
2,4.03,1.8,"[79, 116], [209, 497]"
3,5.09,1.5,"[79, 116], [209, 497]"
4,4.72,2.9,"[79, 116], [209, 497]"
5,4.55,3.1,"[209, 497]"
6,5.02,4.2,"[209, 497]"
7,4.98,5.4,"[79, 116], [209, 497]"
8,4.51,3.1,"[79, 116], [209, 497]"
9,4.38,6.2,None
10,5.08,6.8,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,2.33,N/A,"[79,116]"
2,2.56,N/A,"[79,116]"
3,3.01,N/A,"[79,116]"
4,2.77,N/A,"[79,116]"
5,2.26,N/A,"[79,116]"
6,2.11,N/A,"[79,116]"
7,3.15,N/A,"[79,116]"
8,2.96,N/A,"[79,116]"
9,2.65,N/A,"[79,116]"
10,2.24,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.36,5.3,None
2,4.98,4.1,None
3,5.01,4.2,None
4,5.24,6.5,None
5,5.55,6.3,None
6,5.19,4.9,None
7,4.76,8.1,None
8,5.63,4.9,None
9,5.31,5.2,None
10,5.01,5.4,None
