"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.08,2.7,[798]
2,2.63,2.3,[798]
3,1.98,2.2,[798]
4,2.61,4.2,[798]
5,2.74,2.4,[798]
6,2.53,6.3,[798]
7,2.47,5.1,[798]
8,2.38,2.4,[798]
9,3.02,6.3,[798]
10,2.91,5.4,[798]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,2.82,2.7,[798]
2,2.93,2.3,[798]
3,3.01,3.2,[798]
4,3.11,4.1,[798]
5,4.62,3.1,[798]
6,2.99,4.6,[798]
7,3.07,2.4,[798]
8,3.34,5.3,[798]
9,3.51,4.3,[798]
10,3.55,5.8,[798]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.35,2.5,[798]
2,5.02,1.1,[798]
3,4.98,2.6,[798]
4,5.92,2.5,None
5,4.31,5.2,[798]
6,4.66,2.9,[798]
7,4.84,3.3,[798]
8,5.01,3.5,[798]
9,4.78,1.2,[798]
10,5.98,6.9,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.22,N/A,None
2,2.86,N/A,None
3,3.31,N/A,None
4,2.75,N/A,None
5,2.81,N/A,None
6,2.54,N/A,None
7,3.11,N/A,None
8,2.87,N/A,None
9,2.01,N/A,None
10,2.33,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.98,3.7,None
2,6.01,6.2,None
3,6.35,5.4,None
4,6.22,6.1,None
5,6.21,6.7,None
6,6.18,8.1,None
7,6.19,5.4,None
8,6.11,4.9,None
9,5.89,3.5,None
10,5.52,7.1,None
