"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.59,2.7,None
2,4.68,3.6,None
3,4.02,2.5,None
4,10.33,2.4,None
5,11.06,5.4,None
6,11.09,3.6,None
7,5.88,7.8,None
8,7.52,1.2,None
9,3.98,1.3,None
10,8.86,5.3,"[79, 116]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.01,5.6,None
2,6.97,7.2,None
3,6.63,3.6,None
4,7.06,7.8,None
5,6.53,2.3,None
6,8.86,1.9,None
7,8.91,5.5,None
8,4.99,4.6,None
9,7.76,4.4,None
10,6.24,3.3,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.92,2.6,None
2,10.09,16.6,None
3,9.56,6.7,None
4,8.83,5.5,None
5,7.04,3.4,None
6,6.84,9.7,None
7,9.33,1.1,None
8,8.95,2.5,None
9,8.55,3.3,None
10,10.03,6.1,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.01,N/A,None
2,7.82,N/A,None
3,9.88,N/A,None
4,9.92,N/A,None
5,7.81,N/A,None
6,11.09,N/A,None
7,12.02,N/A,None
8,9.87,N/A,None
9,10.08,N/A,None
10,12.98,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,18.03,4.7,None
2,17.99,4.3,None
3,18.11,6.1,None
4,17.68,9.2,None
5,18.92,5.8,None
6,18.55,5.3,None
7,18.22,7.1,None
8,17.18,4.6,None
9,16.54,6.2,None
10,16.98,5.4,None
