"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,16.12,4.8,None
2,17.01,2.8,None
3,9.98,5.3,"[22, 23, 36, 73, 99], [209, 497]"
4,13.34,0.5,"[22, 23, 36, 73, 99] x 2"
5,9.65,15.9,None
6,9.97,3.1,"[22, 23, 36, 73, 99] x 2"
7,16.78,4.8,"[22, 23, 36, 73, 99]"
8,11.03,7.2,None
9,15.33,9.9,"[22, 23, 36, 73, 99]"
10,9.88,8.1,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,15.03,2.4,None
2,15.56,3.7,None
3,10.03,3.2,None
4,17.27,0.46,None
5,17.02,2.1,None
6,7.66,2.4,None
7,8.87,1.4,"[22, 23, 36, 73, 99] x 2"
8,13.19,2.9,None
9,10.92,6.3,None
10,15.55,9.5,"[22, 23, 36, 73, 99] x 2, [1333, 400]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,13.82,3.3,None
2,14.05,3.9,None
3,12.33,2.5,None
4,8.36,4.5,None
5,18.32,2.3,None
6,12.02,7.3,"[22, 23, 36, 73, 99]"
7,10.21,4.9,None
8,16.64,6.5,None
9,16.05,2.6,None
10,14.26,9.1,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.92,N/A,None
2,14.66,N/A,None
3,15.93,N/A,None
4,17.51,N/A,None
5,17.46,N/A,None
6,16.62,N/A,None
7,12.11,N/A,None
8,13.29,N/A,None
9,15.82,N/A,None
10,10.98,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,12.48,4.1,None
2,9.92,3.4,None
3,10.03,5.3,None
4,11.24,5.5,None
5,10.11,9.8,None
6,13.31,3.4,None
7,15.68,7.2,None
8,19.98,4.5,None
9,9.01,5.6,None
10,10.02,3.8,None
