"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.63,4.1,"[79, 116]"
2,1.88,2.5,"[79, 116]"
3,2.11,2.9,"[79, 116]"
4,1.92,3.1,"[79, 116]"
5,2.22,3.2,"[79, 116]"
6,2.26,6.8,"[79, 116]"
7,2.71,7.1,"[79, 116]"
8,3.14,4.5,"[79, 116]"
9,2.02,6.7,"[79, 116]"
10,3.09,8.3,"[79, 116]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,1.98,2.7,None
2,2.13,7.2,None
3,3.09,7.8,None
4,2.44,9.3,None
5,2.74,8.6,None
6,2.91,6.9,None
7,3.99,1.3,None
8,5.76,10.3,None
9,1.95,8.1,None
10,2.29,6.9,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.01,3.5,None
2,3.07,1.5,None
3,4.18,2.8,None
4,4.03,2.9,None
5,7.15,1.3,None
6,2.87,1.1,None
7,1.89,6.3,None
8,3.65,9.8,None
9,5.82,7.1,None
10,3.09,7.2,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
