"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.25,22.5,"[79, 116] x 2, [209,497]"
2,8.67,10.4,"[209,497]"
3,6.41,9.1,"[209,497]"
4,8.81,16,None
5,10.48,7.1,"[209,497]"
6,8.01,21.9,"[89] x 2, [209,497]"
7,7.82,9.8,"[209,497]"
8,7.59,8.1,"[209,497]"
9,10.7,10.01,"[209,497]"
10,7.41,6.2,"[209,497]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,14.87,11.3,"[79, 116], [1333, 400, 730]"
2,12.19,10.9,"[79, 116], [209, 497]"
3,10.47,7.3,"[79, 116]"
4,9.46,8.1,"[79, 116]"
5,11.53,17.4,"[79, 116] x 2, [209, 497], [1333, 400, 730]"
6,13.54,6.6,"[79, 116] x 2, [209, 497]"
7,8.87,7.4,"[79, 116] x 2, [209, 497]"
8,9.13,11.3,"[79, 116]"
9,9.98,12.4,"[79, 116], [1333, 400, 730]"
10,10.74,7.9,"[79, 116], [209, 497]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,12.5,11.3,"[1333, 400, 730]"
2,10.22,10.4,None
3,10.4,9.9,None
4,11.19,9.5,None
5,9.89,10.3,"[1333, 400, 730], [209, 497]"
6,11.88,9.7,None
7,11.02,10.1,"[1333, 400, 730]"
8,9.23,7.6,None
9,8.85,9.3,None
10,8.48,11.5,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.81,N/A,"[1333, 400, 730]"
2,6.09,N/A,"[1333, 400, 730]"
3,7.39,N/A,"[1333, 400, 730]"
4,4.65,N/A,None
5,6.67,N/A,None
6,7.55,N/A,None
7,9.33,N/A,None
8,5.54,N/A,None
9,10.11,N/A,None
10,11.52,N/A,None
