"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,2.11,11.9,[798]
2,3.09,1.5,[798]
3,1.99,7.9,[798]
4,3.56,0.1,[798]
5,4.01,1.5,[798]
6,5.34,3.2,[798]
7,2.66,3.4,[798]
8,7.12,2.9,[798]
9,4.32,2.1,[798]
10,2.65,8.1,[798]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.11,2.8,[260]
2,3.9,2.9,[260]
3,5.53,4.1,[260]
4,4.68,1.1,[260]
5,3.89,3.4,[260]
6,8.5,7.5,[260]
7,5.24,9.8,[260]
8,9.05,1.8,[260]
9,7.1,2.1,[260]
10,6.99,8.2,[260]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.98,18.9,None
2,5.11,6.5,None
3,6.14,3.1,None
4,6.54,4.2,None
5,5.23,8.8,None
6,6.6,2.3,None
7,7.25,1.3,None
8,5.11,7.2,None
9,9.26,5.6,None
10,6.02,8.2,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
